,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
19954,Cambodia,KHM,2020-01-27,0.059000000000000004,0.059000000000000004,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19955,Cambodia,KHM,2020-01-28,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19956,Cambodia,KHM,2020-01-29,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19957,Cambodia,KHM,2020-01-30,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19958,Cambodia,KHM,2020-01-31,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19959,Cambodia,KHM,2020-02-01,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19960,Cambodia,KHM,2020-02-02,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19961,Cambodia,KHM,2020-02-03,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19962,Cambodia,KHM,2020-02-04,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19963,Cambodia,KHM,2020-02-05,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19964,Cambodia,KHM,2020-02-06,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19965,Cambodia,KHM,2020-02-07,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19966,Cambodia,KHM,2020-02-08,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19967,Cambodia,KHM,2020-02-09,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19968,Cambodia,KHM,2020-02-10,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19969,Cambodia,KHM,2020-02-11,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19970,Cambodia,KHM,2020-02-12,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19971,Cambodia,KHM,2020-02-13,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19972,Cambodia,KHM,2020-02-14,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19973,Cambodia,KHM,2020-02-15,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19974,Cambodia,KHM,2020-02-16,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19975,Cambodia,KHM,2020-02-17,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
19976,Cambodia,KHM,2020-02-18,0.059000000000000004,0.0,,,,,,,,0.0,16946446.0,25.6,3645.07,0.8,0.594
