,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
63703,Kiribati,KIR,2021-05-18,8.238,8.238,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63704,Kiribati,KIR,2021-05-19,8.238,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63705,Kiribati,KIR,2021-05-20,8.238,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63706,Kiribati,KIR,2021-05-21,16.476,8.238,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63707,Kiribati,KIR,2021-05-22,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63708,Kiribati,KIR,2021-05-23,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63709,Kiribati,KIR,2021-05-24,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63710,Kiribati,KIR,2021-05-25,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63711,Kiribati,KIR,2021-05-26,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63712,Kiribati,KIR,2021-05-27,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63713,Kiribati,KIR,2021-05-28,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63714,Kiribati,KIR,2021-05-29,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63715,Kiribati,KIR,2021-05-30,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63716,Kiribati,KIR,2021-05-31,16.476,0.0,,,,,,,,56.94,121388.0,23.2,1981.132,1.9,0.63
63717,Kiribati,KIR,2021-06-01,16.476,0.0,,,,,0.0,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63718,Kiribati,KIR,2021-06-02,16.476,0.0,,,,,,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63719,Kiribati,KIR,2021-06-03,16.476,0.0,,,,,,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63720,Kiribati,KIR,2021-06-04,16.476,0.0,,,,,,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63721,Kiribati,KIR,2021-06-05,16.476,0.0,,,,,,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63722,Kiribati,KIR,2021-06-06,16.476,0.0,,,,,,,,27.78,121388.0,23.2,1981.132,1.9,0.63
63723,Kiribati,KIR,2021-06-07,16.476,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63724,Kiribati,KIR,2021-06-08,16.476,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63725,Kiribati,KIR,2021-06-09,16.476,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63726,Kiribati,KIR,2021-06-10,16.476,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
63727,Kiribati,KIR,2021-06-11,16.476,0.0,,,,,,,,22.22,121388.0,23.2,1981.132,1.9,0.63
