,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
111622,South Korea,KOR,2020-01-21,,,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111623,South Korea,KOR,2020-01-22,0.019,,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111624,South Korea,KOR,2020-01-23,0.019,0.0,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111625,South Korea,KOR,2020-01-24,0.039,0.019,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111626,South Korea,KOR,2020-01-25,0.039,0.0,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111627,South Korea,KOR,2020-01-26,0.057999999999999996,0.019,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111628,South Korea,KOR,2020-01-27,0.078,0.019,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111629,South Korea,KOR,2020-01-28,0.078,0.0,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111630,South Korea,KOR,2020-01-29,0.078,0.0,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111631,South Korea,KOR,2020-01-30,0.078,0.0,,,,,,,,0.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111632,South Korea,KOR,2020-01-31,0.214,0.136,,,,,,,,2.78,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111633,South Korea,KOR,2020-02-01,0.23399999999999999,0.019,,,,,,,,13.89,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111634,South Korea,KOR,2020-02-02,0.292,0.057999999999999996,,,,,,,,13.89,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111635,South Korea,KOR,2020-02-03,0.292,0.0,,,,,,,,23.15,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111636,South Korea,KOR,2020-02-04,0.312,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111637,South Korea,KOR,2020-02-05,0.37,0.057999999999999996,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111638,South Korea,KOR,2020-02-06,0.44799999999999995,0.078,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111639,South Korea,KOR,2020-02-07,0.46799999999999997,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111640,South Korea,KOR,2020-02-08,0.46799999999999997,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111641,South Korea,KOR,2020-02-09,0.48700000000000004,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111642,South Korea,KOR,2020-02-10,0.526,0.039,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111643,South Korea,KOR,2020-02-11,0.546,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111644,South Korea,KOR,2020-02-12,0.546,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111645,South Korea,KOR,2020-02-13,0.546,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111646,South Korea,KOR,2020-02-14,0.546,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111647,South Korea,KOR,2020-02-15,0.546,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111648,South Korea,KOR,2020-02-16,0.565,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111649,South Korea,KOR,2020-02-17,0.585,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111650,South Korea,KOR,2020-02-18,0.604,0.019,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111651,South Korea,KOR,2020-02-19,0.604,0.0,,,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111652,South Korea,KOR,2020-02-20,2.0269999999999997,1.423,0.019,0.019,,,,,,31.48,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111653,South Korea,KOR,2020-02-21,3.9760000000000004,1.949,0.039,0.019,,,,,,45.37,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111654,South Korea,KOR,2020-02-22,8.44,4.463,0.039,0.0,,,,,,45.37,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111655,South Korea,KOR,2020-02-23,11.734000000000002,3.2939999999999996,0.11699999999999999,0.078,,,,,,50.0,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111656,South Korea,KOR,2020-02-24,16.236,4.502,0.156,0.039,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111657,South Korea,KOR,2020-02-25,19.043,2.807,0.195,0.039,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111658,South Korea,KOR,2020-02-26,24.578000000000003,5.5360000000000005,0.23399999999999999,0.039,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111659,South Korea,KOR,2020-02-27,34.421,9.843,0.253,0.019,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111660,South Korea,KOR,2020-02-28,45.551,11.129000000000001,0.253,0.0,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
111661,South Korea,KOR,2020-02-29,61.397,15.845999999999998,0.312,0.057999999999999996,,,,,,55.56,51305184.0,43.4,35938.373999999996,12.27,0.9159999999999999
