,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
65744,Laos,LAO,2020-03-24,0.271,0.271,,,,,,,,25.93,7379358.0,24.4,6397.36,1.5,0.613
65745,Laos,LAO,2020-03-25,0.40700000000000003,0.136,,,,,,,,25.93,7379358.0,24.4,6397.36,1.5,0.613
65746,Laos,LAO,2020-03-26,0.813,0.40700000000000003,,,,,,,,28.7,7379358.0,24.4,6397.36,1.5,0.613
65747,Laos,LAO,2020-03-27,0.813,0.0,,,,,,,,28.7,7379358.0,24.4,6397.36,1.5,0.613
65748,Laos,LAO,2020-03-28,1.084,0.271,,,,,,,,28.7,7379358.0,24.4,6397.36,1.5,0.613
65749,Laos,LAO,2020-03-29,1.084,0.0,,,,,,,,28.7,7379358.0,24.4,6397.36,1.5,0.613
65750,Laos,LAO,2020-03-30,1.084,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65751,Laos,LAO,2020-03-31,1.22,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65752,Laos,LAO,2020-04-01,1.355,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65753,Laos,LAO,2020-04-02,1.355,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65754,Laos,LAO,2020-04-03,1.355,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65755,Laos,LAO,2020-04-04,1.355,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65756,Laos,LAO,2020-04-05,1.4909999999999999,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65757,Laos,LAO,2020-04-06,1.626,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65758,Laos,LAO,2020-04-07,1.8969999999999998,0.271,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65759,Laos,LAO,2020-04-08,2.033,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65760,Laos,LAO,2020-04-09,2.168,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65761,Laos,LAO,2020-04-10,2.168,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65762,Laos,LAO,2020-04-11,2.439,0.271,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65763,Laos,LAO,2020-04-12,2.575,0.136,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65764,Laos,LAO,2020-04-13,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65765,Laos,LAO,2020-04-14,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65766,Laos,LAO,2020-04-15,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65767,Laos,LAO,2020-04-16,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65768,Laos,LAO,2020-04-17,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65769,Laos,LAO,2020-04-18,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65770,Laos,LAO,2020-04-19,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65771,Laos,LAO,2020-04-20,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65772,Laos,LAO,2020-04-21,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65773,Laos,LAO,2020-04-22,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65774,Laos,LAO,2020-04-23,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65775,Laos,LAO,2020-04-24,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65776,Laos,LAO,2020-04-25,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65777,Laos,LAO,2020-04-26,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65778,Laos,LAO,2020-04-27,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65779,Laos,LAO,2020-04-28,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65780,Laos,LAO,2020-04-29,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65781,Laos,LAO,2020-04-30,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
65782,Laos,LAO,2020-05-01,2.575,0.0,,,,,,,,96.3,7379358.0,24.4,6397.36,1.5,0.613
