,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
66983,Lebanon,LBN,2020-02-21,0.14800000000000002,0.14800000000000002,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66984,Lebanon,LBN,2020-02-22,0.14800000000000002,0.0,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66985,Lebanon,LBN,2020-02-23,0.14800000000000002,0.0,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66986,Lebanon,LBN,2020-02-24,0.14800000000000002,0.0,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66987,Lebanon,LBN,2020-02-25,0.14800000000000002,0.0,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66988,Lebanon,LBN,2020-02-26,0.295,0.14800000000000002,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66989,Lebanon,LBN,2020-02-27,0.295,0.0,,,,,,,,8.33,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66990,Lebanon,LBN,2020-02-28,0.295,0.0,,,,,,,,13.89,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66991,Lebanon,LBN,2020-02-29,0.591,0.295,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66992,Lebanon,LBN,2020-03-01,1.4769999999999999,0.8859999999999999,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66993,Lebanon,LBN,2020-03-02,1.92,0.44299999999999995,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66994,Lebanon,LBN,2020-03-03,1.92,0.0,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66995,Lebanon,LBN,2020-03-04,1.92,0.0,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66996,Lebanon,LBN,2020-03-05,2.364,0.44299999999999995,,,,,,,,25.0,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66997,Lebanon,LBN,2020-03-06,3.25,0.8859999999999999,,,,,,,,37.96,6769151.0,31.1,13367.565,2.9,0.7440000000000001
66998,Lebanon,LBN,2020-03-07,3.25,0.0,,,,,,,,37.96,6769151.0,31.1,13367.565,2.9,0.7440000000000001
