,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
68173,Liberia,LBR,2020-03-17,0.965,0.965,,,,,,,,30.56,5180208.0,19.2,752.788,0.8,0.48
68174,Liberia,LBR,2020-03-18,1.158,0.193,,,,,,,,30.56,5180208.0,19.2,752.788,0.8,0.48
68175,Liberia,LBR,2020-03-19,1.158,0.0,,,,,,,,30.56,5180208.0,19.2,752.788,0.8,0.48
68176,Liberia,LBR,2020-03-20,1.158,0.0,,,,,,,,30.56,5180208.0,19.2,752.788,0.8,0.48
68177,Liberia,LBR,2020-03-21,0.579,-0.579,,,,,,,,44.44,5180208.0,19.2,752.788,0.8,0.48
68178,Liberia,LBR,2020-03-22,0.579,0.0,,,,,,,,74.07,5180208.0,19.2,752.788,0.8,0.48
68179,Liberia,LBR,2020-03-23,0.579,0.0,,,,,,,,74.07,5180208.0,19.2,752.788,0.8,0.48
68180,Liberia,LBR,2020-03-24,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68181,Liberia,LBR,2020-03-25,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68182,Liberia,LBR,2020-03-26,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68183,Liberia,LBR,2020-03-27,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68184,Liberia,LBR,2020-03-28,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68185,Liberia,LBR,2020-03-29,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68186,Liberia,LBR,2020-03-30,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68187,Liberia,LBR,2020-03-31,0.579,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68188,Liberia,LBR,2020-04-01,1.158,0.579,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68189,Liberia,LBR,2020-04-02,1.158,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68190,Liberia,LBR,2020-04-03,1.158,0.0,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68191,Liberia,LBR,2020-04-04,1.351,0.193,,,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68192,Liberia,LBR,2020-04-05,1.93,0.579,0.193,0.193,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68193,Liberia,LBR,2020-04-06,2.51,0.579,0.579,0.386,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68194,Liberia,LBR,2020-04-07,2.7030000000000003,0.193,0.579,0.0,,,,,,79.63,5180208.0,19.2,752.788,0.8,0.48
68195,Liberia,LBR,2020-04-08,2.7030000000000003,0.0,0.579,0.0,,,,,,81.48,5180208.0,19.2,752.788,0.8,0.48
68196,Liberia,LBR,2020-04-09,5.984,3.282,0.772,0.193,,,,,,81.48,5180208.0,19.2,752.788,0.8,0.48
68197,Liberia,LBR,2020-04-10,5.984,0.0,0.772,0.0,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68198,Liberia,LBR,2020-04-11,7.143,1.158,0.965,0.193,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68199,Liberia,LBR,2020-04-12,9.266,2.123,0.965,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68200,Liberia,LBR,2020-04-13,9.652000000000001,0.386,0.965,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68201,Liberia,LBR,2020-04-14,9.845,0.193,1.158,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68202,Liberia,LBR,2020-04-15,11.39,1.544,1.158,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68203,Liberia,LBR,2020-04-16,11.39,0.0,1.158,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68204,Liberia,LBR,2020-04-17,14.092,2.7030000000000003,1.158,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68205,Liberia,LBR,2020-04-18,14.671,0.579,1.351,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68206,Liberia,LBR,2020-04-19,15.636,0.965,1.351,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68207,Liberia,LBR,2020-04-20,17.567,1.93,1.544,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68208,Liberia,LBR,2020-04-21,19.111,1.544,1.544,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68209,Liberia,LBR,2020-04-22,19.497,0.386,1.544,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68210,Liberia,LBR,2020-04-23,19.497,0.0,1.544,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68211,Liberia,LBR,2020-04-24,19.497,0.0,1.544,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68212,Liberia,LBR,2020-04-25,22.586,3.089,1.544,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68213,Liberia,LBR,2020-04-26,23.165,0.579,2.123,0.579,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68214,Liberia,LBR,2020-04-27,23.936999999999998,0.772,2.3169999999999997,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68215,Liberia,LBR,2020-04-28,25.675,1.7369999999999999,3.089,0.772,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68216,Liberia,LBR,2020-04-29,27.219,1.544,3.089,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68217,Liberia,LBR,2020-04-30,27.219,0.0,3.089,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68218,Liberia,LBR,2020-05-01,27.219,0.0,3.089,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68219,Liberia,LBR,2020-05-02,29.342,2.123,3.475,0.386,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68220,Liberia,LBR,2020-05-03,29.729,0.386,3.475,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68221,Liberia,LBR,2020-05-04,30.500999999999998,0.772,3.475,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68222,Liberia,LBR,2020-05-05,32.045,1.544,3.475,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68223,Liberia,LBR,2020-05-06,32.817,0.772,3.861,0.386,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68224,Liberia,LBR,2020-05-07,34.361999999999995,1.544,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68225,Liberia,LBR,2020-05-08,36.485,2.123,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68226,Liberia,LBR,2020-05-09,38.415,1.93,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68227,Liberia,LBR,2020-05-10,38.415,0.0,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68228,Liberia,LBR,2020-05-11,39.381,0.965,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68229,Liberia,LBR,2020-05-12,40.732,1.351,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68230,Liberia,LBR,2020-05-13,40.925,0.193,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68231,Liberia,LBR,2020-05-14,41.118,0.193,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68232,Liberia,LBR,2020-05-15,41.504,0.386,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68233,Liberia,LBR,2020-05-16,42.276,0.772,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68234,Liberia,LBR,2020-05-17,43.048,0.772,3.861,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68235,Liberia,LBR,2020-05-18,43.628,0.579,4.053999999999999,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68236,Liberia,LBR,2020-05-19,44.207,0.579,4.247,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68237,Liberia,LBR,2020-05-20,44.979,0.772,4.44,0.193,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68238,Liberia,LBR,2020-05-21,45.943999999999996,0.965,4.44,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68239,Liberia,LBR,2020-05-22,46.33,0.386,4.44,0.0,,,,,,87.96,5180208.0,19.2,752.788,0.8,0.48
68240,Liberia,LBR,2020-05-23,48.068000000000005,1.7369999999999999,4.633,0.193,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68241,Liberia,LBR,2020-05-24,49.226000000000006,1.158,5.019,0.386,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68242,Liberia,LBR,2020-05-25,51.156000000000006,1.93,5.019,0.0,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68243,Liberia,LBR,2020-05-26,51.156000000000006,0.0,5.019,0.0,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68244,Liberia,LBR,2020-05-27,51.349,0.193,5.019,0.0,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68245,Liberia,LBR,2020-05-28,51.349,0.0,5.212000000000001,0.193,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
68246,Liberia,LBR,2020-05-29,51.928000000000004,0.579,5.212000000000001,0.0,,,,,,84.26,5180208.0,19.2,752.788,0.8,0.48
