,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
69408,Liechtenstein,LIE,2020-03-04,26.141,26.141,,,,,,,,25.0,38254.0,,,2.397,0.919
69409,Liechtenstein,LIE,2020-03-05,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69410,Liechtenstein,LIE,2020-03-06,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69411,Liechtenstein,LIE,2020-03-07,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69412,Liechtenstein,LIE,2020-03-08,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69413,Liechtenstein,LIE,2020-03-09,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69414,Liechtenstein,LIE,2020-03-10,26.141,0.0,,,,,,,,25.0,38254.0,,,2.397,0.919
69415,Liechtenstein,LIE,2020-03-11,78.423,52.282,,,,,,,,25.0,38254.0,,,2.397,0.919
69416,Liechtenstein,LIE,2020-03-12,104.564,26.141,,,,,,,,25.0,38254.0,,,2.397,0.919
69417,Liechtenstein,LIE,2020-03-13,130.705,26.141,,,,,,,,63.89,38254.0,,,2.397,0.919
69418,Liechtenstein,LIE,2020-03-14,182.987,52.282,,,,,,,,63.89,38254.0,,,2.397,0.919
69419,Liechtenstein,LIE,2020-03-15,287.552,104.564,,,,,,,,63.89,38254.0,,,2.397,0.919
69420,Liechtenstein,LIE,2020-03-16,365.975,78.423,,,,,,,,67.59,38254.0,,,2.397,0.919
69421,Liechtenstein,LIE,2020-03-17,496.68,130.705,,,,,,,,64.81,38254.0,,,2.397,0.919
69422,Liechtenstein,LIE,2020-03-18,653.526,156.846,,,,,,,,64.81,38254.0,,,2.397,0.919
69423,Liechtenstein,LIE,2020-03-19,888.796,235.27,,,,,,,,64.81,38254.0,,,2.397,0.919
69424,Liechtenstein,LIE,2020-03-20,941.078,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69425,Liechtenstein,LIE,2020-03-21,1150.2069999999999,209.128,,,,,,,,64.81,38254.0,,,2.397,0.919
69426,Liechtenstein,LIE,2020-03-22,1202.489,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69427,Liechtenstein,LIE,2020-03-23,1254.771,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69428,Liechtenstein,LIE,2020-03-24,1333.194,78.423,,,,,,,,64.81,38254.0,,,2.397,0.919
69429,Liechtenstein,LIE,2020-03-25,1385.476,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69430,Liechtenstein,LIE,2020-03-26,1490.04,104.564,,,,,,,,64.81,38254.0,,,2.397,0.919
69431,Liechtenstein,LIE,2020-03-27,1594.604,104.564,,,,,,,,64.81,38254.0,,,2.397,0.919
69432,Liechtenstein,LIE,2020-03-28,1620.746,26.141,,,,,,,,64.81,38254.0,,,2.397,0.919
69433,Liechtenstein,LIE,2020-03-29,1646.8870000000002,26.141,,,,,,,,64.81,38254.0,,,2.397,0.919
69434,Liechtenstein,LIE,2020-03-30,1699.1689999999999,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69435,Liechtenstein,LIE,2020-03-31,1803.733,104.564,,,,,,,,64.81,38254.0,,,2.397,0.919
69436,Liechtenstein,LIE,2020-04-01,1908.297,104.564,,,,,,,,64.81,38254.0,,,2.397,0.919
69437,Liechtenstein,LIE,2020-04-02,1986.72,78.423,,,,,,,,64.81,38254.0,,,2.397,0.919
69438,Liechtenstein,LIE,2020-04-03,2039.0020000000002,52.282,,,,,,,,64.81,38254.0,,,2.397,0.919
69439,Liechtenstein,LIE,2020-04-04,2039.0020000000002,0.0,26.141,26.141,,,,,,64.81,38254.0,,,2.397,0.919
69440,Liechtenstein,LIE,2020-04-05,2039.0020000000002,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69441,Liechtenstein,LIE,2020-04-06,2039.0020000000002,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69442,Liechtenstein,LIE,2020-04-07,2065.144,26.141,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69443,Liechtenstein,LIE,2020-04-08,2065.144,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69444,Liechtenstein,LIE,2020-04-09,2091.285,26.141,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69445,Liechtenstein,LIE,2020-04-10,2091.285,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69446,Liechtenstein,LIE,2020-04-11,2091.285,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69447,Liechtenstein,LIE,2020-04-12,2117.426,26.141,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69448,Liechtenstein,LIE,2020-04-13,2117.426,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69449,Liechtenstein,LIE,2020-04-14,2117.426,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69450,Liechtenstein,LIE,2020-04-15,2117.426,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69451,Liechtenstein,LIE,2020-04-16,2117.426,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69452,Liechtenstein,LIE,2020-04-17,2143.567,26.141,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69453,Liechtenstein,LIE,2020-04-18,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69454,Liechtenstein,LIE,2020-04-19,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69455,Liechtenstein,LIE,2020-04-20,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69456,Liechtenstein,LIE,2020-04-21,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69457,Liechtenstein,LIE,2020-04-22,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69458,Liechtenstein,LIE,2020-04-23,2143.567,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69459,Liechtenstein,LIE,2020-04-24,2169.708,26.141,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69460,Liechtenstein,LIE,2020-04-25,2169.708,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
69461,Liechtenstein,LIE,2020-04-26,2169.708,0.0,26.141,0.0,,,,,,64.81,38254.0,,,2.397,0.919
