,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
70032,Lithuania,LTU,2020-02-29,0.37200000000000005,0.37200000000000005,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70033,Lithuania,LTU,2020-03-01,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70034,Lithuania,LTU,2020-03-02,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70035,Lithuania,LTU,2020-03-03,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70036,Lithuania,LTU,2020-03-04,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70037,Lithuania,LTU,2020-03-05,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70038,Lithuania,LTU,2020-03-06,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70039,Lithuania,LTU,2020-03-07,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70040,Lithuania,LTU,2020-03-08,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70041,Lithuania,LTU,2020-03-09,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70042,Lithuania,LTU,2020-03-10,0.37200000000000005,0.0,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70043,Lithuania,LTU,2020-03-11,1.115,0.7440000000000001,,,,,,,,11.11,2689862.0,43.5,29524.265,6.56,0.882
70044,Lithuania,LTU,2020-03-12,1.115,0.0,,,,,,,,30.56,2689862.0,43.5,29524.265,6.56,0.882
70045,Lithuania,LTU,2020-03-13,1.4869999999999999,0.37200000000000005,,,,,,,,39.81,2689862.0,43.5,29524.265,6.56,0.882
70046,Lithuania,LTU,2020-03-14,2.231,0.7440000000000001,,,,,,,,39.81,2689862.0,43.5,29524.265,6.56,0.882
70047,Lithuania,LTU,2020-03-15,3.346,1.115,,,,,,,,39.81,2689862.0,43.5,29524.265,6.56,0.882
70048,Lithuania,LTU,2020-03-16,4.461,1.115,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70049,Lithuania,LTU,2020-03-17,7.064,2.602,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70050,Lithuania,LTU,2020-03-18,10.038,2.9739999999999998,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70051,Lithuania,LTU,2020-03-19,13.384,3.346,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70052,Lithuania,LTU,2020-03-20,17.473,4.0889999999999995,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70053,Lithuania,LTU,2020-03-21,25.651999999999997,8.179,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70054,Lithuania,LTU,2020-03-22,41.266000000000005,15.614,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70055,Lithuania,LTU,2020-03-23,47.586000000000006,6.32,,,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70056,Lithuania,LTU,2020-03-24,61.713,14.127,0.37200000000000005,0.37200000000000005,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70057,Lithuania,LTU,2020-03-25,77.327,15.614,0.7440000000000001,0.37200000000000005,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70058,Lithuania,LTU,2020-03-26,97.775,20.447,1.115,0.37200000000000005,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
70059,Lithuania,LTU,2020-03-27,108.556,10.780999999999999,1.4869999999999999,0.37200000000000005,,,,,,81.48,2689862.0,43.5,29524.265,6.56,0.882
