,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
71960,Luxembourg,LUX,2020-02-24,,,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71961,Luxembourg,LUX,2020-02-25,,,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71962,Luxembourg,LUX,2020-02-26,,,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71963,Luxembourg,LUX,2020-02-27,,,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71964,Luxembourg,LUX,2020-02-28,,,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71965,Luxembourg,LUX,2020-02-29,1.575,1.575,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71966,Luxembourg,LUX,2020-03-01,1.575,0.0,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71967,Luxembourg,LUX,2020-03-02,1.575,0.0,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71968,Luxembourg,LUX,2020-03-03,1.575,0.0,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71969,Luxembourg,LUX,2020-03-04,1.575,0.0,,,0.0,,,,,0.0,634814.0,39.7,94277.965,4.51,0.9159999999999999
71970,Luxembourg,LUX,2020-03-05,1.575,0.0,,,0.0,,,,,11.11,634814.0,39.7,94277.965,4.51,0.9159999999999999
71971,Luxembourg,LUX,2020-03-06,3.1510000000000002,1.575,,,0.0,,,,,11.11,634814.0,39.7,94277.965,4.51,0.9159999999999999
71972,Luxembourg,LUX,2020-03-07,3.1510000000000002,0.0,,,0.0,,,,,11.11,634814.0,39.7,94277.965,4.51,0.9159999999999999
71973,Luxembourg,LUX,2020-03-08,4.726,1.575,,,0.0,,,,,11.11,634814.0,39.7,94277.965,4.51,0.9159999999999999
71974,Luxembourg,LUX,2020-03-09,4.726,0.0,,,0.0,,,,,22.22,634814.0,39.7,94277.965,4.51,0.9159999999999999
