,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
66348,Latvia,LVA,2020-01-06,,,,,,0.0,,,,0.0,1866934.0,43.9,25063.846,5.57,0.866
66349,Latvia,LVA,2020-01-18,,,,,,0.0,,,,0.0,1866934.0,43.9,25063.846,5.57,0.866
66350,Latvia,LVA,2020-01-24,,,,,,0.0,,,,0.0,1866934.0,43.9,25063.846,5.57,0.866
66351,Latvia,LVA,2020-02-02,,,,,,0.0,,,,2.78,1866934.0,43.9,25063.846,5.57,0.866
66352,Latvia,LVA,2020-02-09,,,,,,0.0,,,,2.78,1866934.0,43.9,25063.846,5.57,0.866
66353,Latvia,LVA,2020-02-15,,,,,,0.0,,,,2.78,1866934.0,43.9,25063.846,5.57,0.866
66354,Latvia,LVA,2020-02-23,,,,,,0.0,,,,2.78,1866934.0,43.9,25063.846,5.57,0.866
66355,Latvia,LVA,2020-02-29,,,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66356,Latvia,LVA,2020-03-01,,,,,,0.0,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66357,Latvia,LVA,2020-03-02,0.536,0.536,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66358,Latvia,LVA,2020-03-03,0.536,0.0,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66359,Latvia,LVA,2020-03-04,0.536,0.0,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66360,Latvia,LVA,2020-03-05,0.536,0.0,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66361,Latvia,LVA,2020-03-06,0.536,0.0,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66362,Latvia,LVA,2020-03-07,0.536,0.0,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66363,Latvia,LVA,2020-03-08,1.071,0.536,,,,0.0,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66364,Latvia,LVA,2020-03-09,3.214,2.1430000000000002,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66365,Latvia,LVA,2020-03-10,4.285,1.071,,,,,,,,8.33,1866934.0,43.9,25063.846,5.57,0.866
66366,Latvia,LVA,2020-03-11,5.356,1.071,,,,,,,,11.11,1866934.0,43.9,25063.846,5.57,0.866
66367,Latvia,LVA,2020-03-12,5.356,0.0,,,,,,,,11.11,1866934.0,43.9,25063.846,5.57,0.866
66368,Latvia,LVA,2020-03-13,9.106,3.7489999999999997,,,,,,,,51.85,1866934.0,43.9,25063.846,5.57,0.866
66369,Latvia,LVA,2020-03-14,13.927,4.821000000000001,,,,,,,,54.63,1866934.0,43.9,25063.846,5.57,0.866
66370,Latvia,LVA,2020-03-15,16.069000000000003,2.1430000000000002,,,,0.0,,,,54.63,1866934.0,43.9,25063.846,5.57,0.866
66371,Latvia,LVA,2020-03-16,18.212,2.1430000000000002,,,,,,,,54.63,1866934.0,43.9,25063.846,5.57,0.866
66372,Latvia,LVA,2020-03-17,26.246,8.035,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66373,Latvia,LVA,2020-03-18,38.03,11.784,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66374,Latvia,LVA,2020-03-19,46.065,8.035,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66375,Latvia,LVA,2020-03-20,59.456,13.390999999999998,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66376,Latvia,LVA,2020-03-21,66.419,6.962999999999999,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66377,Latvia,LVA,2020-03-22,74.454,8.035,,,,0.0,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66378,Latvia,LVA,2020-03-23,96.415,21.961,,,,,,,,60.19,1866934.0,43.9,25063.846,5.57,0.866
66379,Latvia,LVA,2020-03-24,105.521,9.106,,,,,,,,63.89,1866934.0,43.9,25063.846,5.57,0.866
66380,Latvia,LVA,2020-03-25,118.376,12.855,,,,,,,,63.89,1866934.0,43.9,25063.846,5.57,0.866
66381,Latvia,LVA,2020-03-26,130.696,12.32,,,,,,,,63.89,1866934.0,43.9,25063.846,5.57,0.866
66382,Latvia,LVA,2020-03-27,149.97899999999998,19.283,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66383,Latvia,LVA,2020-03-28,163.369,13.390999999999998,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66384,Latvia,LVA,2020-03-29,185.86599999999999,22.497,,,,1.5730000000000002,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66385,Latvia,LVA,2020-03-30,201.4,15.533,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66386,Latvia,LVA,2020-03-31,213.18400000000003,11.784,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66387,Latvia,LVA,2020-04-01,238.894,25.711,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66388,Latvia,LVA,2020-04-02,245.322,6.428,,,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66389,Latvia,LVA,2020-04-03,264.069,18.747,0.536,0.536,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66390,Latvia,LVA,2020-04-04,272.64,8.57,0.536,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66391,Latvia,LVA,2020-04-05,285.495,12.855,0.536,0.0,,2.097,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66392,Latvia,LVA,2020-04-06,290.316,4.821000000000001,0.536,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66393,Latvia,LVA,2020-04-07,293.529,3.214,1.071,0.536,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66394,Latvia,LVA,2020-04-08,309.063,15.533,1.071,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66395,Latvia,LVA,2020-04-09,315.491,6.428,1.607,0.536,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66396,Latvia,LVA,2020-04-10,327.81,12.32,1.607,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66397,Latvia,LVA,2020-04-11,337.452,9.641,1.607,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66398,Latvia,LVA,2020-04-12,348.7,11.248,2.678,1.071,,0.0,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66399,Latvia,LVA,2020-04-13,350.843,2.1430000000000002,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66400,Latvia,LVA,2020-04-14,351.914,1.071,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66401,Latvia,LVA,2020-04-15,356.735,4.821000000000001,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66402,Latvia,LVA,2020-04-16,361.555,4.821000000000001,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66403,Latvia,LVA,2020-04-17,365.305,3.7489999999999997,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66404,Latvia,LVA,2020-04-18,381.374,16.069000000000003,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66405,Latvia,LVA,2020-04-19,389.409,8.035,2.678,0.0,,1.5730000000000002,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66406,Latvia,LVA,2020-04-20,395.836,6.428,2.678,0.0,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
66407,Latvia,LVA,2020-04-21,400.657,4.821000000000001,4.821000000000001,2.1430000000000002,,,,,,69.44,1866934.0,43.9,25063.846,5.57,0.866
