,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
72593,Macao,MAC,2021-02-08,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72594,Macao,MAC,2021-02-09,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72595,Macao,MAC,2021-02-10,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72596,Macao,MAC,2021-02-11,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72597,Macao,MAC,2021-02-12,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72598,Macao,MAC,2021-02-13,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72599,Macao,MAC,2021-02-14,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72600,Macao,MAC,2021-02-15,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72601,Macao,MAC,2021-02-16,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72602,Macao,MAC,2021-02-17,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72603,Macao,MAC,2021-02-18,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72604,Macao,MAC,2021-02-19,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72605,Macao,MAC,2021-02-20,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72606,Macao,MAC,2021-02-21,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72607,Macao,MAC,2021-02-22,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72608,Macao,MAC,2021-02-23,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72609,Macao,MAC,2021-02-24,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72610,Macao,MAC,2021-02-25,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72611,Macao,MAC,2021-02-26,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72612,Macao,MAC,2021-02-27,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72613,Macao,MAC,2021-02-28,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72614,Macao,MAC,2021-03-01,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72615,Macao,MAC,2021-03-02,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72616,Macao,MAC,2021-03-03,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72617,Macao,MAC,2021-03-04,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72618,Macao,MAC,2021-03-05,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72619,Macao,MAC,2021-03-06,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72620,Macao,MAC,2021-03-07,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72621,Macao,MAC,2021-03-08,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72622,Macao,MAC,2021-03-09,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72623,Macao,MAC,2021-03-10,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72624,Macao,MAC,2021-03-11,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72625,Macao,MAC,2021-03-12,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72626,Macao,MAC,2021-03-13,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72627,Macao,MAC,2021-03-14,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72628,Macao,MAC,2021-03-15,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72629,Macao,MAC,2021-03-16,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72630,Macao,MAC,2021-03-17,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72631,Macao,MAC,2021-03-18,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72632,Macao,MAC,2021-03-19,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72633,Macao,MAC,2021-03-20,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72634,Macao,MAC,2021-03-21,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72635,Macao,MAC,2021-03-22,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72636,Macao,MAC,2021-03-23,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72637,Macao,MAC,2021-03-24,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72638,Macao,MAC,2021-03-25,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72639,Macao,MAC,2021-03-26,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72640,Macao,MAC,2021-03-27,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72641,Macao,MAC,2021-03-28,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72642,Macao,MAC,2021-03-29,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72643,Macao,MAC,2021-03-30,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72644,Macao,MAC,2021-03-31,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
72645,Macao,MAC,2021-04-01,,,,,,,,,,23.15,658391.0,39.2,104861.851,,
