,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
79798,Monaco,MCO,2020-02-29,25.304000000000002,25.304000000000002,,,,,,,,18.52,39520.0,,,13.8,
79799,Monaco,MCO,2020-03-01,25.304000000000002,0.0,,,,,,,,18.52,39520.0,,,13.8,
79800,Monaco,MCO,2020-03-02,25.304000000000002,0.0,,,,,,,,18.52,39520.0,,,13.8,
79801,Monaco,MCO,2020-03-03,25.304000000000002,0.0,,,,,,,,22.22,39520.0,,,13.8,
79802,Monaco,MCO,2020-03-04,25.304000000000002,0.0,,,,,,,,22.22,39520.0,,,13.8,
79803,Monaco,MCO,2020-03-05,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79804,Monaco,MCO,2020-03-06,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79805,Monaco,MCO,2020-03-07,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79806,Monaco,MCO,2020-03-08,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79807,Monaco,MCO,2020-03-09,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79808,Monaco,MCO,2020-03-10,25.304000000000002,0.0,,,,,,,,27.78,39520.0,,,13.8,
79809,Monaco,MCO,2020-03-11,25.304000000000002,0.0,,,,,,,,61.11,39520.0,,,13.8,
79810,Monaco,MCO,2020-03-12,50.607,25.304000000000002,,,,,,,,61.11,39520.0,,,13.8,
79811,Monaco,MCO,2020-03-13,50.607,0.0,,,,,,,,68.52,39520.0,,,13.8,
79812,Monaco,MCO,2020-03-14,50.607,0.0,,,,,,,,68.52,39520.0,,,13.8,
79813,Monaco,MCO,2020-03-15,50.607,0.0,,,,,,,,85.19,39520.0,,,13.8,
79814,Monaco,MCO,2020-03-16,177.12599999999998,126.51799999999999,,,,,,,,85.19,39520.0,,,13.8,
