,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
78190,Mexico,MEX,2020-01-01,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78191,Mexico,MEX,2020-01-02,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78192,Mexico,MEX,2020-01-03,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78193,Mexico,MEX,2020-01-04,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78194,Mexico,MEX,2020-01-05,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78195,Mexico,MEX,2020-01-06,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78196,Mexico,MEX,2020-01-07,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78197,Mexico,MEX,2020-01-08,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78198,Mexico,MEX,2020-01-09,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78199,Mexico,MEX,2020-01-10,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78200,Mexico,MEX,2020-01-11,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78201,Mexico,MEX,2020-01-12,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78202,Mexico,MEX,2020-01-13,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78203,Mexico,MEX,2020-01-14,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78204,Mexico,MEX,2020-01-15,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78205,Mexico,MEX,2020-01-16,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78206,Mexico,MEX,2020-01-17,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78207,Mexico,MEX,2020-01-18,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78208,Mexico,MEX,2020-01-19,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78209,Mexico,MEX,2020-01-20,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78210,Mexico,MEX,2020-01-21,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78211,Mexico,MEX,2020-01-22,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78212,Mexico,MEX,2020-01-23,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78213,Mexico,MEX,2020-01-24,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78214,Mexico,MEX,2020-01-25,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78215,Mexico,MEX,2020-01-26,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78216,Mexico,MEX,2020-01-27,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78217,Mexico,MEX,2020-01-28,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78218,Mexico,MEX,2020-01-29,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78219,Mexico,MEX,2020-01-30,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78220,Mexico,MEX,2020-01-31,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78221,Mexico,MEX,2020-02-01,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78222,Mexico,MEX,2020-02-02,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78223,Mexico,MEX,2020-02-03,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78224,Mexico,MEX,2020-02-04,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78225,Mexico,MEX,2020-02-05,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78226,Mexico,MEX,2020-02-06,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78227,Mexico,MEX,2020-02-07,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78228,Mexico,MEX,2020-02-08,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78229,Mexico,MEX,2020-02-09,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78230,Mexico,MEX,2020-02-10,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78231,Mexico,MEX,2020-02-11,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
78232,Mexico,MEX,2020-02-12,,,,,,,,,,0.0,130262220.0,29.3,17336.468999999997,1.38,0.779
