,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
75957,Malta,MLT,2020-03-05,,,,,0.0,,,,,11.11,516100.0,42.4,36513.323,4.485,0.895
75958,Malta,MLT,2020-03-06,,,,,0.0,,,,,11.11,516100.0,42.4,36513.323,4.485,0.895
75959,Malta,MLT,2020-03-07,5.813,5.813,,,0.0,,,,,11.11,516100.0,42.4,36513.323,4.485,0.895
75960,Malta,MLT,2020-03-08,5.813,0.0,,,0.0,,,,,11.11,516100.0,42.4,36513.323,4.485,0.895
75961,Malta,MLT,2020-03-09,5.813,0.0,,,0.0,,,,,16.67,516100.0,42.4,36513.323,4.485,0.895
75962,Malta,MLT,2020-03-10,9.687999999999999,3.875,,,0.0,,,,,27.78,516100.0,42.4,36513.323,4.485,0.895
75963,Malta,MLT,2020-03-11,11.626,1.9380000000000002,,,0.0,,,,,27.78,516100.0,42.4,36513.323,4.485,0.895
75964,Malta,MLT,2020-03-12,11.626,0.0,,,0.0,,,,,33.33,516100.0,42.4,36513.323,4.485,0.895
75965,Malta,MLT,2020-03-13,23.250999999999998,11.626,,,0.0,,,,,57.41,516100.0,42.4,36513.323,4.485,0.895
75966,Malta,MLT,2020-03-14,34.876999999999995,11.626,,,0.0,,,,,57.41,516100.0,42.4,36513.323,4.485,0.895
75967,Malta,MLT,2020-03-15,40.69,5.813,,,0.0,,,,,57.41,516100.0,42.4,36513.323,4.485,0.895
75968,Malta,MLT,2020-03-16,58.128,17.438,,,0.0,,,,,57.41,516100.0,42.4,36513.323,4.485,0.895
75969,Malta,MLT,2020-03-17,73.62899999999999,15.501,,,0.0,,,,,57.41,516100.0,42.4,36513.323,4.485,0.895
75970,Malta,MLT,2020-03-18,73.62899999999999,0.0,,,0.0,,,,,62.96,516100.0,42.4,36513.323,4.485,0.895
75971,Malta,MLT,2020-03-19,102.693,29.064,,,0.0,,,,,62.96,516100.0,42.4,36513.323,4.485,0.895
75972,Malta,MLT,2020-03-20,124.007,21.314,,,0.0,,,,,62.96,516100.0,42.4,36513.323,4.485,0.895
75973,Malta,MLT,2020-03-21,141.445,17.438,,,0.0,,,,,65.74,516100.0,42.4,36513.323,4.485,0.895
75974,Malta,MLT,2020-03-22,174.385,32.939,,,0.0,,,,,65.74,516100.0,42.4,36513.323,4.485,0.895
75975,Malta,MLT,2020-03-23,207.324,32.939,,,0.0,,,,,69.44,516100.0,42.4,36513.323,4.485,0.895
75976,Malta,MLT,2020-03-24,213.137,5.813,,,0.0,,,,,69.44,516100.0,42.4,36513.323,4.485,0.895
75977,Malta,MLT,2020-03-25,249.952,36.815,,,0.0,,,,,69.44,516100.0,42.4,36513.323,4.485,0.895
75978,Malta,MLT,2020-03-26,259.64,9.687999999999999,,,1.9380000000000002,,,,,69.44,516100.0,42.4,36513.323,4.485,0.895
75979,Malta,MLT,2020-03-27,269.328,9.687999999999999,,,1.9380000000000002,,,,,69.44,516100.0,42.4,36513.323,4.485,0.895
