,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
82583,Mozambique,MOZ,2020-03-22,0.031,0.031,,,,,,,,22.22,32163045.0,17.7,1136.103,0.7,0.456
82584,Mozambique,MOZ,2020-03-23,0.031,0.0,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82585,Mozambique,MOZ,2020-03-24,0.09300000000000001,0.062,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82586,Mozambique,MOZ,2020-03-25,0.155,0.062,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82587,Mozambique,MOZ,2020-03-26,0.218,0.062,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82588,Mozambique,MOZ,2020-03-27,0.218,0.0,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82589,Mozambique,MOZ,2020-03-28,0.249,0.031,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82590,Mozambique,MOZ,2020-03-29,0.249,0.0,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82591,Mozambique,MOZ,2020-03-30,0.249,0.0,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82592,Mozambique,MOZ,2020-03-31,0.249,0.0,,,,,,,,47.22,32163045.0,17.7,1136.103,0.7,0.456
82593,Mozambique,MOZ,2020-04-01,0.311,0.062,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82594,Mozambique,MOZ,2020-04-02,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82595,Mozambique,MOZ,2020-04-03,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82596,Mozambique,MOZ,2020-04-04,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82597,Mozambique,MOZ,2020-04-05,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82598,Mozambique,MOZ,2020-04-06,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82599,Mozambique,MOZ,2020-04-07,0.311,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82600,Mozambique,MOZ,2020-04-08,0.529,0.218,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82601,Mozambique,MOZ,2020-04-09,0.529,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82602,Mozambique,MOZ,2020-04-10,0.622,0.09300000000000001,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82603,Mozambique,MOZ,2020-04-11,0.622,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82604,Mozambique,MOZ,2020-04-12,0.653,0.031,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82605,Mozambique,MOZ,2020-04-13,0.653,0.0,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
82606,Mozambique,MOZ,2020-04-14,0.871,0.218,,,,,,,,56.48,32163045.0,17.7,1136.103,0.7,0.456
