,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
76966,Mauritania,MRT,2020-03-14,0.209,0.209,,,,,,,,16.67,4775110.0,20.3,3597.633,,0.546
76967,Mauritania,MRT,2020-03-15,0.209,0.0,,,,,,,,16.67,4775110.0,20.3,3597.633,,0.546
76968,Mauritania,MRT,2020-03-16,0.209,0.0,,,,,,,,27.78,4775110.0,20.3,3597.633,,0.546
76969,Mauritania,MRT,2020-03-17,0.209,0.0,,,,,,,,27.78,4775110.0,20.3,3597.633,,0.546
76970,Mauritania,MRT,2020-03-18,0.209,0.0,,,,,,,,27.78,4775110.0,20.3,3597.633,,0.546
76971,Mauritania,MRT,2020-03-19,0.419,0.209,,,,,,,,57.41,4775110.0,20.3,3597.633,,0.546
76972,Mauritania,MRT,2020-03-20,0.419,0.0,,,,,,,,57.41,4775110.0,20.3,3597.633,,0.546
76973,Mauritania,MRT,2020-03-21,0.419,0.0,,,,,,,,57.41,4775110.0,20.3,3597.633,,0.546
76974,Mauritania,MRT,2020-03-22,0.419,0.0,,,,,,,,57.41,4775110.0,20.3,3597.633,,0.546
76975,Mauritania,MRT,2020-03-23,0.419,0.0,,,,,,,,62.96,4775110.0,20.3,3597.633,,0.546
76976,Mauritania,MRT,2020-03-24,0.419,0.0,,,,,,,,62.96,4775110.0,20.3,3597.633,,0.546
76977,Mauritania,MRT,2020-03-25,0.419,0.0,,,,,,,,62.96,4775110.0,20.3,3597.633,,0.546
76978,Mauritania,MRT,2020-03-26,0.628,0.209,,,,,,,,62.96,4775110.0,20.3,3597.633,,0.546
76979,Mauritania,MRT,2020-03-27,0.628,0.0,,,,,,,,66.67,4775110.0,20.3,3597.633,,0.546
76980,Mauritania,MRT,2020-03-28,1.047,0.419,,,,,,,,66.67,4775110.0,20.3,3597.633,,0.546
76981,Mauritania,MRT,2020-03-29,1.047,0.0,,,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76982,Mauritania,MRT,2020-03-30,1.047,0.0,0.209,0.209,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76983,Mauritania,MRT,2020-03-31,1.2570000000000001,0.209,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76984,Mauritania,MRT,2020-04-01,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76985,Mauritania,MRT,2020-04-02,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76986,Mauritania,MRT,2020-04-03,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76987,Mauritania,MRT,2020-04-04,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76988,Mauritania,MRT,2020-04-05,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76989,Mauritania,MRT,2020-04-06,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76990,Mauritania,MRT,2020-04-07,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
76991,Mauritania,MRT,2020-04-08,1.2570000000000001,0.0,0.209,0.0,,,,,,77.78,4775110.0,20.3,3597.633,,0.546
