,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
77580,Mauritius,MUS,2020-03-18,2.356,2.356,,,,,,,,5.56,1273428.0,37.4,20292.745,3.4,0.804
77581,Mauritius,MUS,2020-03-19,2.356,0.0,,,,,,,,22.22,1273428.0,37.4,20292.745,3.4,0.804
77582,Mauritius,MUS,2020-03-20,9.423,7.068,,,,,,,,50.0,1273428.0,37.4,20292.745,3.4,0.804
77583,Mauritius,MUS,2020-03-21,10.994000000000002,1.571,0.785,0.785,,,,,,50.0,1273428.0,37.4,20292.745,3.4,0.804
77584,Mauritius,MUS,2020-03-22,21.988000000000003,10.994000000000002,1.571,0.785,,,,,,50.0,1273428.0,37.4,20292.745,3.4,0.804
77585,Mauritius,MUS,2020-03-23,28.27,6.282,1.571,0.0,,,,,,71.3,1273428.0,37.4,20292.745,3.4,0.804
77586,Mauritius,MUS,2020-03-24,32.982,4.712,1.571,0.0,,,,,,71.3,1273428.0,37.4,20292.745,3.4,0.804
77587,Mauritius,MUS,2020-03-25,37.694,4.712,1.571,0.0,,,,,,71.3,1273428.0,37.4,20292.745,3.4,0.804
77588,Mauritius,MUS,2020-03-26,63.608000000000004,25.914,1.571,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77589,Mauritius,MUS,2020-03-27,73.817,10.209,1.571,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77590,Mauritius,MUS,2020-03-28,80.09899999999999,6.282,1.571,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77591,Mauritius,MUS,2020-03-29,84.025,3.926,2.356,0.785,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77592,Mauritius,MUS,2020-03-30,100.516,16.491,2.356,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77593,Mauritius,MUS,2020-03-31,112.295,11.779000000000002,3.926,1.571,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77594,Mauritius,MUS,2020-04-01,126.43,14.135,4.712,0.785,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77595,Mauritius,MUS,2020-04-02,132.713,6.282,5.497000000000001,0.785,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77596,Mauritius,MUS,2020-04-03,146.062,13.35,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77597,Mauritius,MUS,2020-04-04,153.915,7.853,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77598,Mauritius,MUS,2020-04-05,178.25900000000001,24.344,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77599,Mauritius,MUS,2020-04-06,191.609,13.35,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77600,Mauritius,MUS,2020-04-07,210.456,18.847,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77601,Mauritius,MUS,2020-04-08,214.382,3.926,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77602,Mauritius,MUS,2020-04-09,246.579,32.196999999999996,5.497000000000001,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77603,Mauritius,MUS,2020-04-10,249.72,3.141,7.068,1.571,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
77604,Mauritius,MUS,2020-04-11,250.505,0.785,7.068,0.0,,,,,,82.41,1273428.0,37.4,20292.745,3.4,0.804
