,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
73471,Malawi,MWI,2020-03-29,,,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73472,Malawi,MWI,2020-03-30,,,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73473,Malawi,MWI,2020-03-31,,,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73474,Malawi,MWI,2020-04-01,,,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73475,Malawi,MWI,2020-04-02,0.153,0.153,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73476,Malawi,MWI,2020-04-03,0.153,0.0,,,,,,,,52.78,19647681.0,18.1,1095.042,1.3,0.483
73477,Malawi,MWI,2020-04-04,0.204,0.051,,,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73478,Malawi,MWI,2020-04-05,0.204,0.0,,,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73479,Malawi,MWI,2020-04-06,0.254,0.051,,,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73480,Malawi,MWI,2020-04-07,0.40700000000000003,0.153,0.051,0.051,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73481,Malawi,MWI,2020-04-08,0.40700000000000003,0.0,0.051,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73482,Malawi,MWI,2020-04-09,0.40700000000000003,0.0,0.051,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73483,Malawi,MWI,2020-04-10,0.45799999999999996,0.051,0.051,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73484,Malawi,MWI,2020-04-11,0.611,0.153,0.102,0.051,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73485,Malawi,MWI,2020-04-12,0.662,0.051,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73486,Malawi,MWI,2020-04-13,0.8140000000000001,0.153,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73487,Malawi,MWI,2020-04-14,0.8140000000000001,0.0,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73488,Malawi,MWI,2020-04-15,0.8140000000000001,0.0,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73489,Malawi,MWI,2020-04-16,0.8140000000000001,0.0,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73490,Malawi,MWI,2020-04-17,0.865,0.051,0.102,0.0,,,,,,56.48,19647681.0,18.1,1095.042,1.3,0.483
73491,Malawi,MWI,2020-04-18,0.865,0.0,0.102,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73492,Malawi,MWI,2020-04-19,0.865,0.0,0.102,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73493,Malawi,MWI,2020-04-20,0.865,0.0,0.102,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73494,Malawi,MWI,2020-04-21,0.9159999999999999,0.051,0.102,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73495,Malawi,MWI,2020-04-22,1.171,0.254,0.153,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73496,Malawi,MWI,2020-04-23,1.68,0.509,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73497,Malawi,MWI,2020-04-24,1.68,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73498,Malawi,MWI,2020-04-25,1.68,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73499,Malawi,MWI,2020-04-26,1.73,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73500,Malawi,MWI,2020-04-27,1.8319999999999999,0.102,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73501,Malawi,MWI,2020-04-28,1.8319999999999999,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73502,Malawi,MWI,2020-04-29,1.8319999999999999,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73503,Malawi,MWI,2020-04-30,1.883,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73504,Malawi,MWI,2020-05-01,1.883,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73505,Malawi,MWI,2020-05-02,1.9340000000000002,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73506,Malawi,MWI,2020-05-03,1.985,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73507,Malawi,MWI,2020-05-04,2.0869999999999997,0.102,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73508,Malawi,MWI,2020-05-05,2.0869999999999997,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73509,Malawi,MWI,2020-05-06,2.189,0.102,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73510,Malawi,MWI,2020-05-07,2.189,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73511,Malawi,MWI,2020-05-08,2.189,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73512,Malawi,MWI,2020-05-09,2.85,0.662,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73513,Malawi,MWI,2020-05-10,2.85,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73514,Malawi,MWI,2020-05-11,2.9010000000000002,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73515,Malawi,MWI,2020-05-12,2.9010000000000002,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73516,Malawi,MWI,2020-05-13,3.2060000000000004,0.305,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73517,Malawi,MWI,2020-05-14,3.2060000000000004,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73518,Malawi,MWI,2020-05-15,3.2060000000000004,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73519,Malawi,MWI,2020-05-16,3.3080000000000003,0.102,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73520,Malawi,MWI,2020-05-17,3.563,0.254,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73521,Malawi,MWI,2020-05-18,3.563,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73522,Malawi,MWI,2020-05-19,3.563,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73523,Malawi,MWI,2020-05-20,3.614,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73524,Malawi,MWI,2020-05-21,3.665,0.051,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73525,Malawi,MWI,2020-05-22,4.1739999999999995,0.509,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73526,Malawi,MWI,2020-05-23,4.1739999999999995,0.0,0.153,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73527,Malawi,MWI,2020-05-24,4.224,0.051,0.204,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73528,Malawi,MWI,2020-05-25,5.141,0.9159999999999999,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73529,Malawi,MWI,2020-05-26,5.141,0.0,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73530,Malawi,MWI,2020-05-27,5.141,0.0,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73531,Malawi,MWI,2020-05-28,10.332,5.191,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73532,Malawi,MWI,2020-05-29,13.895,3.563,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73533,Malawi,MWI,2020-05-30,14.2,0.305,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73534,Malawi,MWI,2020-05-31,14.455,0.254,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73535,Malawi,MWI,2020-06-01,17.101,2.647,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73536,Malawi,MWI,2020-06-02,18.221,1.12,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73537,Malawi,MWI,2020-06-03,18.781,0.56,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73538,Malawi,MWI,2020-06-04,20.002,1.222,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73539,Malawi,MWI,2020-06-05,20.816999999999997,0.8140000000000001,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73540,Malawi,MWI,2020-06-06,20.816999999999997,0.0,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73541,Malawi,MWI,2020-06-07,22.293000000000003,1.476,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73542,Malawi,MWI,2020-06-08,22.546999999999997,0.254,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73543,Malawi,MWI,2020-06-09,23.158,0.611,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73544,Malawi,MWI,2020-06-10,23.158,0.0,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73545,Malawi,MWI,2020-06-11,24.480999999999998,1.3230000000000002,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73546,Malawi,MWI,2020-06-12,24.480999999999998,0.0,0.204,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73547,Malawi,MWI,2020-06-13,26.924,2.443,0.254,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73548,Malawi,MWI,2020-06-14,27.84,0.9159999999999999,0.305,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73549,Malawi,MWI,2020-06-15,28.248,0.40700000000000003,0.305,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73550,Malawi,MWI,2020-06-16,28.706,0.45799999999999996,0.305,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73551,Malawi,MWI,2020-06-17,29.113000000000003,0.40700000000000003,0.305,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73552,Malawi,MWI,2020-06-18,30.131,1.018,0.40700000000000003,0.102,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73553,Malawi,MWI,2020-06-19,31.555999999999997,1.425,0.40700000000000003,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73554,Malawi,MWI,2020-06-20,31.555999999999997,0.0,0.40700000000000003,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73555,Malawi,MWI,2020-06-21,37.155,5.599,0.56,0.153,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73556,Malawi,MWI,2020-06-22,38.122,0.9670000000000001,0.56,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73557,Malawi,MWI,2020-06-23,40.87,2.748,0.56,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73558,Malawi,MWI,2020-06-24,47.894,7.024,0.56,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73559,Malawi,MWI,2020-06-25,48.861000000000004,0.9670000000000001,0.611,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73560,Malawi,MWI,2020-06-26,51.151,2.29,0.662,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73561,Malawi,MWI,2020-06-27,52.831,1.68,0.662,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73562,Malawi,MWI,2020-06-28,58.327,5.497000000000001,0.662,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73563,Malawi,MWI,2020-06-29,58.633,0.305,0.662,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73564,Malawi,MWI,2020-06-30,62.297,3.665,0.713,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73565,Malawi,MWI,2020-07-01,64.384,2.0869999999999997,0.8140000000000001,0.102,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73566,Malawi,MWI,2020-07-02,68.303,3.9189999999999996,0.8140000000000001,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73567,Malawi,MWI,2020-07-03,76.243,7.94,0.8140000000000001,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73568,Malawi,MWI,2020-07-04,82.096,5.853,0.865,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73569,Malawi,MWI,2020-07-05,82.096,0.0,0.865,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73570,Malawi,MWI,2020-07-06,88.662,6.566,0.9670000000000001,0.102,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73571,Malawi,MWI,2020-07-07,92.53,3.8680000000000003,0.9670000000000001,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73572,Malawi,MWI,2020-07-08,94.87100000000001,2.3409999999999997,1.222,0.254,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73573,Malawi,MWI,2020-07-09,98.84100000000001,3.97,1.272,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73574,Malawi,MWI,2020-07-10,105.305,6.4639999999999995,1.578,0.305,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73575,Malawi,MWI,2020-07-11,115.07700000000001,9.772,1.68,0.102,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73576,Malawi,MWI,2020-07-12,120.32,5.242000000000001,1.9340000000000002,0.254,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73577,Malawi,MWI,2020-07-13,123.679,3.359,1.985,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73578,Malawi,MWI,2020-07-14,127.089,3.41,2.036,0.051,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73579,Malawi,MWI,2020-07-15,133.04399999999998,5.955,2.189,0.153,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73580,Malawi,MWI,2020-07-16,138.032,4.988,2.596,0.40700000000000003,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73581,Malawi,MWI,2020-07-17,142.765,4.7330000000000005,2.799,0.204,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73582,Malawi,MWI,2020-07-18,143.019,0.254,2.799,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73583,Malawi,MWI,2020-07-19,147.95600000000002,4.937,3.003,0.204,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73584,Malawi,MWI,2020-07-20,152.283,4.3260000000000005,3.156,0.153,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73585,Malawi,MWI,2020-07-21,154.98,2.698,3.2569999999999997,0.102,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73586,Malawi,MWI,2020-07-22,168.06099999999998,13.08,3.8680000000000003,0.611,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73587,Malawi,MWI,2020-07-23,168.06099999999998,0.0,3.8680000000000003,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73588,Malawi,MWI,2020-07-24,175.74599999999998,7.685,4.428,0.56,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73589,Malawi,MWI,2020-07-25,175.74599999999998,0.0,4.428,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73590,Malawi,MWI,2020-07-26,185.264,9.517999999999999,5.039,0.611,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73591,Malawi,MWI,2020-07-27,186.485,1.222,5.039,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73592,Malawi,MWI,2020-07-28,188.775,2.29,5.242000000000001,0.204,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73593,Malawi,MWI,2020-07-29,190.25099999999998,1.476,5.242000000000001,0.0,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73594,Malawi,MWI,2020-07-30,196.359,6.108,5.446000000000001,0.204,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73595,Malawi,MWI,2020-07-31,207.55599999999998,11.197000000000001,5.8020000000000005,0.35600000000000004,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73596,Malawi,MWI,2020-08-01,213.053,5.497000000000001,6.108,0.305,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
73597,Malawi,MWI,2020-08-02,215.343,2.29,6.26,0.153,,,,,,60.19,19647681.0,18.1,1095.042,1.3,0.483
