,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
74070,Malaysia,MYS,2020-01-24,,,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74071,Malaysia,MYS,2020-01-25,0.122,0.122,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74072,Malaysia,MYS,2020-01-26,0.122,0.0,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74073,Malaysia,MYS,2020-01-27,0.122,0.0,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74074,Malaysia,MYS,2020-01-28,0.122,0.0,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74075,Malaysia,MYS,2020-01-29,0.214,0.092,,,,,,,,11.11,32776195.0,29.9,26808.164,1.9,0.81
74076,Malaysia,MYS,2020-01-30,0.244,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74077,Malaysia,MYS,2020-01-31,0.244,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74078,Malaysia,MYS,2020-02-01,0.244,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74079,Malaysia,MYS,2020-02-02,0.244,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74080,Malaysia,MYS,2020-02-03,0.244,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74081,Malaysia,MYS,2020-02-04,0.305,0.061,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74082,Malaysia,MYS,2020-02-05,0.366,0.061,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74083,Malaysia,MYS,2020-02-06,0.42700000000000005,0.061,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74084,Malaysia,MYS,2020-02-07,0.45799999999999996,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74085,Malaysia,MYS,2020-02-08,0.488,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74086,Malaysia,MYS,2020-02-09,0.519,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74087,Malaysia,MYS,2020-02-10,0.5489999999999999,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74088,Malaysia,MYS,2020-02-11,0.5489999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74089,Malaysia,MYS,2020-02-12,0.5489999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74090,Malaysia,MYS,2020-02-13,0.5489999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74091,Malaysia,MYS,2020-02-14,0.58,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74092,Malaysia,MYS,2020-02-15,0.6709999999999999,0.092,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74093,Malaysia,MYS,2020-02-16,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74094,Malaysia,MYS,2020-02-17,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74095,Malaysia,MYS,2020-02-18,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74096,Malaysia,MYS,2020-02-19,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74097,Malaysia,MYS,2020-02-20,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74098,Malaysia,MYS,2020-02-21,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74099,Malaysia,MYS,2020-02-22,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74100,Malaysia,MYS,2020-02-23,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74101,Malaysia,MYS,2020-02-24,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74102,Malaysia,MYS,2020-02-25,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74103,Malaysia,MYS,2020-02-26,0.6709999999999999,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74104,Malaysia,MYS,2020-02-27,0.7020000000000001,0.031,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74105,Malaysia,MYS,2020-02-28,0.763,0.061,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74106,Malaysia,MYS,2020-02-29,0.885,0.122,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74107,Malaysia,MYS,2020-03-01,0.885,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74108,Malaysia,MYS,2020-03-02,0.885,0.0,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74109,Malaysia,MYS,2020-03-03,1.0979999999999999,0.214,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74110,Malaysia,MYS,2020-03-04,1.525,0.42700000000000005,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74111,Malaysia,MYS,2020-03-05,1.6780000000000002,0.153,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74112,Malaysia,MYS,2020-03-06,2.532,0.8540000000000001,,,,,,,,19.44,32776195.0,29.9,26808.164,1.9,0.81
74113,Malaysia,MYS,2020-03-07,2.8369999999999997,0.305,,,,,,,,22.22,32776195.0,29.9,26808.164,1.9,0.81
74114,Malaysia,MYS,2020-03-08,3.02,0.183,,,,,,,,22.22,32776195.0,29.9,26808.164,1.9,0.81
74115,Malaysia,MYS,2020-03-09,3.57,0.5489999999999999,,,,,,,,22.22,32776195.0,29.9,26808.164,1.9,0.81
74116,Malaysia,MYS,2020-03-10,3.9360000000000004,0.366,,,,,,,,22.22,32776195.0,29.9,26808.164,1.9,0.81
74117,Malaysia,MYS,2020-03-11,4.546,0.61,,,,,,,,22.22,32776195.0,29.9,26808.164,1.9,0.81
74118,Malaysia,MYS,2020-03-12,4.821000000000001,0.275,,,,,,,,27.78,32776195.0,29.9,26808.164,1.9,0.81
74119,Malaysia,MYS,2020-03-13,6.01,1.19,,,,,,,,27.78,32776195.0,29.9,26808.164,1.9,0.81
74120,Malaysia,MYS,2020-03-14,7.261,1.251,,,,,,,,38.89,32776195.0,29.9,26808.164,1.9,0.81
74121,Malaysia,MYS,2020-03-15,13.058,5.797000000000001,,,,,,,,38.89,32776195.0,29.9,26808.164,1.9,0.81
74122,Malaysia,MYS,2020-03-16,16.872,3.8139999999999996,,,,,,,,38.89,32776195.0,29.9,26808.164,1.9,0.81
74123,Malaysia,MYS,2020-03-17,20.533,3.661,0.061,0.061,,,,,,38.89,32776195.0,29.9,26808.164,1.9,0.81
74124,Malaysia,MYS,2020-03-18,24.103,3.57,0.061,0.0,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74125,Malaysia,MYS,2020-03-19,27.459,3.3560000000000003,0.061,0.0,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74126,Malaysia,MYS,2020-03-20,31.425,3.966,0.092,0.031,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74127,Malaysia,MYS,2020-03-21,36.093,4.668,0.214,0.122,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74128,Malaysia,MYS,2020-03-22,39.846,3.753,0.336,0.122,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74129,Malaysia,MYS,2020-03-23,46.31399999999999,6.468,0.488,0.153,,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74130,Malaysia,MYS,2020-03-24,49.548,3.234,0.5489999999999999,0.061,2.105,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74131,Malaysia,MYS,2020-03-25,54.79600000000001,5.247999999999999,0.6409999999999999,0.092,1.831,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74132,Malaysia,MYS,2020-03-26,61.966,7.17,0.7929999999999999,0.153,2.166,,,,,73.15,32776195.0,29.9,26808.164,1.9,0.81
74133,Malaysia,MYS,2020-03-27,65.932,3.966,0.8540000000000001,0.061,2.2880000000000003,,,,,78.7,32776195.0,29.9,26808.164,1.9,0.81
74134,Malaysia,MYS,2020-03-28,70.783,4.851,1.037,0.183,2.8680000000000003,,,,,78.7,32776195.0,29.9,26808.164,1.9,0.81
74135,Malaysia,MYS,2020-03-29,75.36,4.5760000000000005,1.19,0.153,2.9589999999999996,,,,,78.7,32776195.0,29.9,26808.164,1.9,0.81
74136,Malaysia,MYS,2020-03-30,80.119,4.76,1.3119999999999998,0.122,2.7460000000000004,,,,,78.7,32776195.0,29.9,26808.164,1.9,0.81
74137,Malaysia,MYS,2020-03-31,84.391,4.271,1.464,0.153,2.8369999999999997,,,,,78.7,32776195.0,29.9,26808.164,1.9,0.81
