,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
85213,Netherlands,NLD,2020-02-27,0.057999999999999996,0.057999999999999996,,,0.408,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85214,Netherlands,NLD,2020-02-28,0.057999999999999996,0.0,,,0.466,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85215,Netherlands,NLD,2020-02-29,0.349,0.29100000000000004,,,0.524,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85216,Netherlands,NLD,2020-03-01,0.5820000000000001,0.233,,,0.6409999999999999,0.115,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85217,Netherlands,NLD,2020-03-02,1.048,0.466,,,0.5820000000000001,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85218,Netherlands,NLD,2020-03-03,1.3980000000000001,0.349,,,0.6990000000000001,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85219,Netherlands,NLD,2020-03-04,2.213,0.815,,,0.873,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85220,Netherlands,NLD,2020-03-05,4.775,2.562,,,0.873,,,,,5.56,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85221,Netherlands,NLD,2020-03-06,7.454,2.679,0.057999999999999996,0.057999999999999996,1.1059999999999999,,,,,11.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85222,Netherlands,NLD,2020-03-07,10.947000000000001,3.4939999999999998,0.057999999999999996,0.0,1.2229999999999999,,,,,11.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85223,Netherlands,NLD,2020-03-08,15.431,4.484,0.175,0.11599999999999999,1.5719999999999998,1.034,,,,11.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85224,Netherlands,NLD,2020-03-09,18.692,3.261,0.175,0.0,1.8630000000000002,,,,,11.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85225,Netherlands,NLD,2020-03-10,22.244,3.552,0.233,0.057999999999999996,2.271,,,,,20.83,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85226,Netherlands,NLD,2020-03-11,29.29,7.046,0.29100000000000004,0.057999999999999996,2.795,,,,,20.83,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85227,Netherlands,NLD,2020-03-12,29.29,0.0,0.29100000000000004,0.0,3.96,,,,,45.37,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85228,Netherlands,NLD,2020-03-13,46.934,17.644000000000002,0.5820000000000001,0.29100000000000004,4.6,,,,,53.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85229,Netherlands,NLD,2020-03-14,56.018,9.084,0.6990000000000001,0.11599999999999999,5.59,,,,,53.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85230,Netherlands,NLD,2020-03-15,66.266,10.249,1.165,0.466,6.9879999999999995,6.377000000000001,,,,53.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85231,Netherlands,NLD,2020-03-16,82.455,16.188,1.3980000000000001,0.233,8.735,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85232,Netherlands,NLD,2020-03-17,99.633,17.178,2.504,1.1059999999999999,10.423,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85233,Netherlands,NLD,2020-03-18,119.839,20.206,3.377,0.873,13.277000000000001,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85234,Netherlands,NLD,2020-03-19,143.655,23.816,4.484,1.1059999999999999,16.712,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85235,Netherlands,NLD,2020-03-20,174.86700000000002,31.212,6.231,1.7469999999999999,21.079,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85236,Netherlands,NLD,2020-03-21,211.959,37.093,7.978,1.7469999999999999,25.039,,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85237,Netherlands,NLD,2020-03-22,245.55900000000003,33.599000000000004,10.482000000000001,2.504,27.951,24.471999999999998,,,,61.11,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85238,Netherlands,NLD,2020-03-23,277.411,31.851999999999997,12.460999999999999,1.98,33.366,,,,,78.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85239,Netherlands,NLD,2020-03-24,324.927,47.516000000000005,16.13,3.6689999999999996,38.025,,,,,78.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
85240,Netherlands,NLD,2020-03-25,374.889,49.961999999999996,20.788,4.658,43.788999999999994,,,,,78.7,17173094.0,43.2,48472.545,3.32,0.9440000000000001
