,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
90248,Norway,NOR,2020-02-26,0.183,0.183,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90249,Norway,NOR,2020-02-27,0.183,0.0,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90250,Norway,NOR,2020-02-28,1.0979999999999999,0.915,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90251,Norway,NOR,2020-02-29,2.7439999999999998,1.6469999999999998,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90252,Norway,NOR,2020-03-01,3.4760000000000004,0.732,,,,0.0,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90253,Norway,NOR,2020-03-02,4.574,1.0979999999999999,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90254,Norway,NOR,2020-03-03,5.855,1.281,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90255,Norway,NOR,2020-03-04,10.245999999999999,4.391,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90256,Norway,NOR,2020-03-05,15.918,5.672000000000001,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90257,Norway,NOR,2020-03-06,19.76,3.842,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90258,Norway,NOR,2020-03-07,26.895,7.136,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90259,Norway,NOR,2020-03-08,32.201,5.306,,,,0.0,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90260,Norway,NOR,2020-03-09,37.507,5.306,,,,,,,,11.11,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90261,Norway,NOR,2020-03-10,73.185,35.678000000000004,,,,,,,,20.37,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90262,Norway,NOR,2020-03-11,109.411,36.226,,,,,,,,25.93,5465629.0,39.7,64800.057,3.6,0.9570000000000001
90263,Norway,NOR,2020-03-12,128.439,19.028,,,,,,,,40.74,5465629.0,39.7,64800.057,3.6,0.9570000000000001
