,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
94137,Papua New Guinea,PNG,2020-03-20,0.11,0.11,,,,,,,,19.44,9119005.0,22.6,3823.1940000000004,,0.555
94138,Papua New Guinea,PNG,2020-03-21,0.11,0.0,,,,,,,,19.44,9119005.0,22.6,3823.1940000000004,,0.555
94139,Papua New Guinea,PNG,2020-03-22,0.11,0.0,,,,,,,,22.22,9119005.0,22.6,3823.1940000000004,,0.555
94140,Papua New Guinea,PNG,2020-03-23,0.11,0.0,,,,,,,,33.33,9119005.0,22.6,3823.1940000000004,,0.555
94141,Papua New Guinea,PNG,2020-03-24,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94142,Papua New Guinea,PNG,2020-03-25,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94143,Papua New Guinea,PNG,2020-03-26,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94144,Papua New Guinea,PNG,2020-03-27,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94145,Papua New Guinea,PNG,2020-03-28,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94146,Papua New Guinea,PNG,2020-03-29,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94147,Papua New Guinea,PNG,2020-03-30,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94148,Papua New Guinea,PNG,2020-03-31,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94149,Papua New Guinea,PNG,2020-04-01,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94150,Papua New Guinea,PNG,2020-04-02,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94151,Papua New Guinea,PNG,2020-04-03,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94152,Papua New Guinea,PNG,2020-04-04,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94153,Papua New Guinea,PNG,2020-04-05,0.11,0.0,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
94154,Papua New Guinea,PNG,2020-04-06,0.21899999999999997,0.11,,,,,,,,74.07,9119005.0,22.6,3823.1940000000004,,0.555
