,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
96796,Poland,POL,2020-03-04,0.026000000000000002,0.026000000000000002,,,,,,,,11.11,37797000.0,41.8,27216.445,6.62,0.88
96797,Poland,POL,2020-03-05,0.026000000000000002,0.0,,,,,,,,11.11,37797000.0,41.8,27216.445,6.62,0.88
96798,Poland,POL,2020-03-06,0.132,0.106,,,,,,,,11.11,37797000.0,41.8,27216.445,6.62,0.88
96799,Poland,POL,2020-03-07,0.132,0.0,,,,,,,,11.11,37797000.0,41.8,27216.445,6.62,0.88
96800,Poland,POL,2020-03-08,0.29100000000000004,0.159,,,,,,,,11.11,37797000.0,41.8,27216.445,6.62,0.88
96801,Poland,POL,2020-03-09,0.423,0.132,,,,,,,,13.89,37797000.0,41.8,27216.445,6.62,0.88
96802,Poland,POL,2020-03-10,0.5820000000000001,0.159,,,,,,,,25.0,37797000.0,41.8,27216.445,6.62,0.88
96803,Poland,POL,2020-03-11,0.82,0.23800000000000002,,,,,,,,25.0,37797000.0,41.8,27216.445,6.62,0.88
96804,Poland,POL,2020-03-12,1.296,0.47600000000000003,0.026000000000000002,0.026000000000000002,,,,,,41.67,37797000.0,41.8,27216.445,6.62,0.88
96805,Poland,POL,2020-03-13,1.7990000000000002,0.503,0.053,0.026000000000000002,,,,,,41.67,37797000.0,41.8,27216.445,6.62,0.88
96806,Poland,POL,2020-03-14,2.725,0.9259999999999999,0.079,0.026000000000000002,,,,,,49.07,37797000.0,41.8,27216.445,6.62,0.88
96807,Poland,POL,2020-03-15,3.148,0.423,0.079,0.0,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96808,Poland,POL,2020-03-16,4.683,1.535,0.106,0.026000000000000002,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96809,Poland,POL,2020-03-17,6.297000000000001,1.614,0.132,0.026000000000000002,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96810,Poland,POL,2020-03-18,6.641,0.344,0.132,0.0,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96811,Poland,POL,2020-03-19,9.392000000000001,2.752,0.132,0.0,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96812,Poland,POL,2020-03-20,11.244000000000002,1.8519999999999999,0.132,0.0,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
96813,Poland,POL,2020-03-21,14.181,2.937,0.132,0.0,,,,,,57.41,37797000.0,41.8,27216.445,6.62,0.88
