,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
97420,Portugal,PRT,2020-01-06,,,,,,,,,,0.0,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97421,Portugal,PRT,2020-01-18,,,,,,,,,,0.0,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97422,Portugal,PRT,2020-01-24,,,,,,,,,,0.0,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97423,Portugal,PRT,2020-02-02,,,,,,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97424,Portugal,PRT,2020-02-09,,,,,,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97425,Portugal,PRT,2020-02-15,,,,,,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97426,Portugal,PRT,2020-02-23,,,,,,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97427,Portugal,PRT,2020-02-26,,,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97428,Portugal,PRT,2020-02-27,,,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97429,Portugal,PRT,2020-02-28,,,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97430,Portugal,PRT,2020-02-29,,,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97431,Portugal,PRT,2020-03-01,,,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97432,Portugal,PRT,2020-03-02,0.19699999999999998,0.19699999999999998,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97433,Portugal,PRT,2020-03-03,0.19699999999999998,0.0,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97434,Portugal,PRT,2020-03-04,0.49200000000000005,0.295,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97435,Portugal,PRT,2020-03-05,0.787,0.295,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97436,Portugal,PRT,2020-03-06,1.2790000000000001,0.49200000000000005,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97437,Portugal,PRT,2020-03-07,1.9669999999999999,0.688,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97438,Portugal,PRT,2020-03-08,2.95,0.983,,,0.0,,,,,5.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97439,Portugal,PRT,2020-03-09,2.95,0.0,,,0.0,,,,,27.31,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97440,Portugal,PRT,2020-03-10,4.032,1.082,,,0.0,,,,,35.65,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97441,Portugal,PRT,2020-03-11,5.803,1.77,,,0.0,,,,,35.65,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97442,Portugal,PRT,2020-03-12,5.803,0.0,,,0.0,,,,,43.06,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97443,Portugal,PRT,2020-03-13,11.015,5.212000000000001,,,0.0,,,,,43.06,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97444,Portugal,PRT,2020-03-14,16.621,5.606,,,0.983,,,,,43.06,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97445,Portugal,PRT,2020-03-15,24.095,7.474,,,0.885,,,,,53.7,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97446,Portugal,PRT,2020-03-16,32.553000000000004,8.458,,,1.77,,,,,55.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97447,Portugal,PRT,2020-03-17,44.06,11.507,0.098,0.098,1.672,,,,,55.56,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97448,Portugal,PRT,2020-03-18,44.06,0.0,0.19699999999999998,0.098,1.9669999999999999,,,,,61.11,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97449,Portugal,PRT,2020-03-19,77.204,33.143,0.295,0.098,1.9669999999999999,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97450,Portugal,PRT,2020-03-20,100.315,23.112,0.59,0.295,2.557,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97451,Portugal,PRT,2020-03-21,125.88600000000001,25.570999999999998,1.18,0.59,3.4419999999999997,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97452,Portugal,PRT,2020-03-22,157.358,31.471999999999998,1.3769999999999998,0.19699999999999998,4.032,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97453,Portugal,PRT,2020-03-23,202.59799999999998,45.24,2.262,0.885,4.622,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97454,Portugal,PRT,2020-03-24,232.299,29.701,3.2460000000000004,0.983,4.721,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97455,Portugal,PRT,2020-03-25,294.55400000000003,62.255,4.229,0.983,5.999,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97456,Portugal,PRT,2020-03-26,348.54699999999997,53.993,5.901,1.672,5.999,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97457,Portugal,PRT,2020-03-27,419.751,71.204,7.474,1.574,6.983,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97458,Portugal,PRT,2020-03-28,508.462,88.71,9.835,2.36,8.753,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97459,Portugal,PRT,2020-03-29,586.354,77.892,11.703,1.869,13.572000000000001,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97460,Portugal,PRT,2020-03-30,630.217,43.863,13.769,2.065,16.129,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97461,Portugal,PRT,2020-03-31,732.008,101.791,15.735999999999999,1.9669999999999999,18.49,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97462,Portugal,PRT,2020-04-01,811.4730000000001,79.46600000000001,18.391,2.655,22.62,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97463,Portugal,PRT,2020-04-02,888.48,77.007,20.555,2.164,23.604,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97464,Portugal,PRT,2020-04-03,972.273,83.79299999999999,24.194000000000003,3.639,24.095,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97465,Portugal,PRT,2020-04-04,1035.02,62.746,26.160999999999998,1.9669999999999999,24.685,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97466,Portugal,PRT,2020-04-05,1109.174,74.155,29.013,2.852,26.259,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97467,Portugal,PRT,2020-04-06,1153.628,44.45399999999999,30.586,1.574,26.554000000000002,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97468,Portugal,PRT,2020-04-07,1223.652,70.024,33.93,3.344,26.651999999999997,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97469,Portugal,PRT,2020-04-08,1292.3980000000001,68.74600000000001,37.372,3.4419999999999997,24.095,,,,,82.41,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97470,Portugal,PRT,2020-04-09,1372.5520000000001,80.154,40.225,2.852,23.701999999999998,,,,,87.96,10167923.0,46.2,27936.896,3.39,0.8640000000000001
97471,Portugal,PRT,2020-04-10,1521.648,149.096,42.782,2.557,22.226999999999997,,,,,87.96,10167923.0,46.2,27936.896,3.39,0.8640000000000001
