,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
98058,Qatar,QAT,2020-02-29,0.341,0.341,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98059,Qatar,QAT,2020-03-01,1.024,0.682,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98060,Qatar,QAT,2020-03-02,1.024,0.0,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98061,Qatar,QAT,2020-03-03,2.3890000000000002,1.365,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98062,Qatar,QAT,2020-03-04,2.73,0.341,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98063,Qatar,QAT,2020-03-05,2.73,0.0,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98064,Qatar,QAT,2020-03-06,2.73,0.0,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98065,Qatar,QAT,2020-03-07,2.73,0.0,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98066,Qatar,QAT,2020-03-08,5.119,2.3890000000000002,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98067,Qatar,QAT,2020-03-09,6.142,1.024,,,,,,,,13.89,2930524.0,31.9,116935.6,1.2,0.848
98068,Qatar,QAT,2020-03-10,8.19,2.0469999999999997,,,,,,,,25.0,2930524.0,31.9,116935.6,1.2,0.848
98069,Qatar,QAT,2020-03-11,89.404,81.214,,,,,,,,25.0,2930524.0,31.9,116935.6,1.2,0.848
98070,Qatar,QAT,2020-03-12,89.404,0.0,,,,,,,,30.56,2930524.0,31.9,116935.6,1.2,0.848
98071,Qatar,QAT,2020-03-13,109.195,19.792,,,,,,,,30.56,2930524.0,31.9,116935.6,1.2,0.848
98072,Qatar,QAT,2020-03-14,114.99600000000001,5.801,,,,,,,,30.56,2930524.0,31.9,116935.6,1.2,0.848
98073,Qatar,QAT,2020-03-15,136.836,21.839000000000002,,,,,,,,41.67,2930524.0,31.9,116935.6,1.2,0.848
98074,Qatar,QAT,2020-03-16,149.803,12.967,,,,,,,,41.67,2930524.0,31.9,116935.6,1.2,0.848
98075,Qatar,QAT,2020-03-17,149.803,0.0,,,,,,,,61.11,2930524.0,31.9,116935.6,1.2,0.848
98076,Qatar,QAT,2020-03-18,154.239,4.436,,,,,,,,63.89,2930524.0,31.9,116935.6,1.2,0.848
98077,Qatar,QAT,2020-03-19,156.969,2.73,,,,,,,,63.89,2930524.0,31.9,116935.6,1.2,0.848
98078,Qatar,QAT,2020-03-20,160.381,3.412,,,,,,,,63.89,2930524.0,31.9,116935.6,1.2,0.848
98079,Qatar,QAT,2020-03-21,164.13400000000001,3.7539999999999996,,,,,,,,63.89,2930524.0,31.9,116935.6,1.2,0.848
98080,Qatar,QAT,2020-03-22,168.571,4.436,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98081,Qatar,QAT,2020-03-23,170.959,2.3890000000000002,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98082,Qatar,QAT,2020-03-24,179.49,8.531,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98083,Qatar,QAT,2020-03-25,183.24400000000003,3.7539999999999996,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98084,Qatar,QAT,2020-03-26,187.33900000000003,4.095,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98085,Qatar,QAT,2020-03-27,191.775,4.436,,,,,,,,80.56,2930524.0,31.9,116935.6,1.2,0.848
98086,Qatar,QAT,2020-03-28,201.329,9.555,0.341,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98087,Qatar,QAT,2020-03-29,216.34400000000002,15.014000000000001,0.341,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98088,Qatar,QAT,2020-03-30,236.476,20.133,0.341,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98089,Qatar,QAT,2020-03-31,266.505,30.029,0.682,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98090,Qatar,QAT,2020-04-01,284.932,18.427,0.682,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98091,Qatar,QAT,2020-04-02,323.83299999999997,38.900999999999996,1.024,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98092,Qatar,QAT,2020-04-03,366.829,42.996,1.024,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98093,Qatar,QAT,2020-04-04,452.13800000000003,85.309,1.024,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98094,Qatar,QAT,2020-04-05,547.342,95.205,1.365,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98095,Qatar,QAT,2020-04-06,625.144,77.80199999999999,1.365,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98096,Qatar,QAT,2020-04-07,701.922,76.778,2.0469999999999997,0.682,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98097,Qatar,QAT,2020-04-08,754.1310000000001,52.208999999999996,2.0469999999999997,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98098,Qatar,QAT,2020-04-09,810.7769999999999,56.645,2.0469999999999997,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98099,Qatar,QAT,2020-04-10,857.185,46.408,2.0469999999999997,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98100,Qatar,QAT,2020-04-11,930.8919999999999,73.707,2.0469999999999997,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98101,Qatar,QAT,2020-04-12,1016.5419999999999,85.65,2.3890000000000002,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98102,Qatar,QAT,2020-04-13,1102.5330000000001,85.991,2.3890000000000002,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98103,Qatar,QAT,2020-04-14,1169.757,67.223,2.3890000000000002,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98104,Qatar,QAT,2020-04-15,1266.326,96.57,2.3890000000000002,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98105,Qatar,QAT,2020-04-16,1400.0910000000001,133.764,2.3890000000000002,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98106,Qatar,QAT,2020-04-17,1591.183,191.092,2.3890000000000002,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98107,Qatar,QAT,2020-04-18,1708.9089999999999,117.726,2.73,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98108,Qatar,QAT,2020-04-19,1859.0529999999999,150.144,2.73,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98109,Qatar,QAT,2020-04-20,2052.534,193.481,3.071,0.341,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98110,Qatar,QAT,2020-04-21,2229.294,176.76,3.071,0.0,,,,,,86.11,2930524.0,31.9,116935.6,1.2,0.848
98111,Qatar,QAT,2020-04-22,2436.766,207.47099999999998,3.412,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98112,Qatar,QAT,2020-04-23,2649.3559999999998,212.59,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98113,Qatar,QAT,2020-04-24,2909.0359999999996,259.681,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98114,Qatar,QAT,2020-04-25,3193.2859999999996,284.25,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98115,Qatar,QAT,2020-04-26,3510.2940000000003,317.008,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98116,Qatar,QAT,2020-04-27,3836.8559999999998,326.563,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98117,Qatar,QAT,2020-04-28,4067.873,231.017,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98118,Qatar,QAT,2020-04-29,4287.288,219.415,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98119,Qatar,QAT,2020-04-30,4575.6320000000005,288.344,3.412,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98120,Qatar,QAT,2020-05-01,4810.061,234.429,4.095,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98121,Qatar,QAT,2020-05-02,5074.86,264.79900000000004,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98122,Qatar,QAT,2020-05-03,5306.56,231.699,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98123,Qatar,QAT,2020-05-04,5524.95,218.391,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98124,Qatar,QAT,2020-05-05,5849.465999999999,324.515,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98125,Qatar,QAT,2020-05-06,6132.691999999999,283.226,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98126,Qatar,QAT,2020-05-07,6445.946,313.255,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98127,Qatar,QAT,2020-05-08,6893.306,447.36,4.095,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98128,Qatar,QAT,2020-05-09,7278.903,385.597,4.436,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98129,Qatar,QAT,2020-05-10,7684.633000000001,405.72900000000004,4.777,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98130,Qatar,QAT,2020-05-11,8061.016,376.38300000000004,4.777,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98131,Qatar,QAT,2020-05-12,8581.742,520.726,4.777,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98132,Qatar,QAT,2020-05-13,9056.06,474.31800000000004,4.777,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98133,Qatar,QAT,2020-05-14,9647.421,591.362,4.777,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98134,Qatar,QAT,2020-05-15,10040.866,393.445,4.777,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98135,Qatar,QAT,2020-05-16,10568.758,527.8919999999999,5.119,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98136,Qatar,QAT,2020-05-17,11125.655,556.8969999999999,5.119,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98137,Qatar,QAT,2020-05-18,11591.442,465.787,5.119,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98138,Qatar,QAT,2020-05-19,12150.046,558.6030000000001,5.119,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98139,Qatar,QAT,2020-05-20,12658.828000000001,508.783,5.46,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98140,Qatar,QAT,2020-05-21,13189.108999999999,530.281,5.801,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98141,Qatar,QAT,2020-05-22,13813.571000000002,624.462,6.483,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98142,Qatar,QAT,2020-05-23,14404.591,591.021,7.166,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98143,Qatar,QAT,2020-05-24,14916.786,512.195,7.848,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98144,Qatar,QAT,2020-05-25,15514.29,597.504,8.872,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98145,Qatar,QAT,2020-05-26,16108.723,594.433,9.555,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98146,Qatar,QAT,2020-05-27,16702.474,593.75,10.237,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98147,Qatar,QAT,2020-05-28,17373.685,671.211,11.261,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98148,Qatar,QAT,2020-05-29,18053.768,680.0830000000001,12.284,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98149,Qatar,QAT,2020-05-30,18857.378,803.6110000000001,12.284,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98150,Qatar,QAT,2020-05-31,19419.735,562.357,12.967,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98151,Qatar,QAT,2020-06-01,19939.436999999998,519.702,13.649000000000001,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98152,Qatar,QAT,2020-06-02,20562.534,623.097,14.673,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98153,Qatar,QAT,2020-06-03,21211.224,648.689,15.356,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98154,Qatar,QAT,2020-06-04,21750.717999999997,539.494,15.356,0.0,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98155,Qatar,QAT,2020-06-05,22349.245,598.528,16.721,1.365,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98156,Qatar,QAT,2020-06-06,22929.346,580.101,17.403,0.682,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98157,Qatar,QAT,2020-06-07,23473.618,544.271,18.427,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98158,Qatar,QAT,2020-06-08,23940.428,466.811,19.45,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98159,Qatar,QAT,2020-06-09,24527.695,587.2669999999999,21.156999999999996,1.706,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98160,Qatar,QAT,2020-06-10,25113.256,585.561,22.522,1.365,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98161,Qatar,QAT,2020-06-11,25616.92,503.664,23.545,1.024,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
98162,Qatar,QAT,2020-06-12,26134.575,517.655,23.886999999999997,0.341,,,,,,83.33,2930524.0,31.9,116935.6,1.2,0.848
