,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
98686,Romania,ROU,2020-02-26,0.052000000000000005,0.052000000000000005,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98687,Romania,ROU,2020-02-27,0.052000000000000005,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98688,Romania,ROU,2020-02-28,0.157,0.105,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98689,Romania,ROU,2020-02-29,0.157,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98690,Romania,ROU,2020-03-01,0.157,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98691,Romania,ROU,2020-03-02,0.157,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98692,Romania,ROU,2020-03-03,0.157,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98693,Romania,ROU,2020-03-04,0.209,0.052000000000000005,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98694,Romania,ROU,2020-03-05,0.314,0.105,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98695,Romania,ROU,2020-03-06,0.47100000000000003,0.157,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98696,Romania,ROU,2020-03-07,0.47100000000000003,0.0,,,,,,,,16.67,19127772.0,43.0,23313.199,6.892,0.828
98697,Romania,ROU,2020-03-08,0.784,0.314,,,,,,,,30.56,19127772.0,43.0,23313.199,6.892,0.828
98698,Romania,ROU,2020-03-09,0.784,0.0,,,,,,,,33.33,19127772.0,43.0,23313.199,6.892,0.828
98699,Romania,ROU,2020-03-10,1.307,0.523,,,,,,,,33.33,19127772.0,43.0,23313.199,6.892,0.828
98700,Romania,ROU,2020-03-11,2.353,1.046,,,,,,,,44.44,19127772.0,43.0,23313.199,6.892,0.828
98701,Romania,ROU,2020-03-12,2.562,0.209,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98702,Romania,ROU,2020-03-13,4.6530000000000005,2.0909999999999997,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98703,Romania,ROU,2020-03-14,6.43,1.778,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98704,Romania,ROU,2020-03-15,6.849,0.418,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98705,Romania,ROU,2020-03-16,8.26,1.412,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98706,Romania,ROU,2020-03-17,9.62,1.359,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98707,Romania,ROU,2020-03-18,13.593,3.9730000000000003,,,,,,,,58.33,19127772.0,43.0,23313.199,6.892,0.828
98708,Romania,ROU,2020-03-19,14.482000000000001,0.889,,,0.314,,,,,61.11,19127772.0,43.0,23313.199,6.892,0.828
98709,Romania,ROU,2020-03-20,16.102,1.621,,,0.575,,,,,61.11,19127772.0,43.0,23313.199,6.892,0.828
98710,Romania,ROU,2020-03-21,19.187,3.085,,,0.732,,,,,69.44,19127772.0,43.0,23313.199,6.892,0.828
98711,Romania,ROU,2020-03-22,22.636999999999997,3.45,0.157,0.157,0.732,,,,,75.0,19127772.0,43.0,23313.199,6.892,0.828
98712,Romania,ROU,2020-03-23,30.113000000000003,7.476,0.366,0.209,0.784,,,,,75.0,19127772.0,43.0,23313.199,6.892,0.828
98713,Romania,ROU,2020-03-24,41.51,11.397,0.575,0.209,0.836,,,,,75.0,19127772.0,43.0,23313.199,6.892,0.828
98714,Romania,ROU,2020-03-25,47.36600000000001,5.855,0.889,0.314,0.941,,,,,78.7,19127772.0,43.0,23313.199,6.892,0.828
