,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
99317,Russia,RUS,2020-01-31,0.013999999999999999,0.013999999999999999,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99318,Russia,RUS,2020-02-01,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99319,Russia,RUS,2020-02-02,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99320,Russia,RUS,2020-02-03,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99321,Russia,RUS,2020-02-04,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99322,Russia,RUS,2020-02-05,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99323,Russia,RUS,2020-02-06,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99324,Russia,RUS,2020-02-07,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99325,Russia,RUS,2020-02-08,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99326,Russia,RUS,2020-02-09,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99327,Russia,RUS,2020-02-10,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99328,Russia,RUS,2020-02-11,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99329,Russia,RUS,2020-02-12,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99330,Russia,RUS,2020-02-13,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99331,Russia,RUS,2020-02-14,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99332,Russia,RUS,2020-02-15,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99333,Russia,RUS,2020-02-16,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99334,Russia,RUS,2020-02-17,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99335,Russia,RUS,2020-02-18,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99336,Russia,RUS,2020-02-19,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99337,Russia,RUS,2020-02-20,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99338,Russia,RUS,2020-02-21,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99339,Russia,RUS,2020-02-22,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99340,Russia,RUS,2020-02-23,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99341,Russia,RUS,2020-02-24,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99342,Russia,RUS,2020-02-25,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99343,Russia,RUS,2020-02-26,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99344,Russia,RUS,2020-02-27,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99345,Russia,RUS,2020-02-28,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99346,Russia,RUS,2020-02-29,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99347,Russia,RUS,2020-03-01,0.013999999999999999,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99348,Russia,RUS,2020-03-02,0.021,0.006999999999999999,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99349,Russia,RUS,2020-03-03,0.021,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99350,Russia,RUS,2020-03-04,0.021,0.0,,,,,,,,8.33,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99351,Russia,RUS,2020-03-05,0.027000000000000003,0.006999999999999999,,,,,,,,16.67,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99352,Russia,RUS,2020-03-06,0.08900000000000001,0.062,,,,,,,,16.67,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99353,Russia,RUS,2020-03-07,0.08900000000000001,0.0,,,,,,,,16.67,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99354,Russia,RUS,2020-03-08,0.11699999999999999,0.027000000000000003,,,,,,,,16.67,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
99355,Russia,RUS,2020-03-09,0.11699999999999999,0.0,,,,,,,,16.67,145912022.0,39.6,24765.953999999998,8.05,0.8240000000000001
