,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
107191,Singapore,SGP,2020-01-23,0.183,0.183,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107192,Singapore,SGP,2020-01-24,0.55,0.36700000000000005,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107193,Singapore,SGP,2020-01-25,0.55,0.0,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107194,Singapore,SGP,2020-01-26,0.733,0.183,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107195,Singapore,SGP,2020-01-27,0.917,0.183,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107196,Singapore,SGP,2020-01-28,1.284,0.36700000000000005,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107197,Singapore,SGP,2020-01-29,1.284,0.0,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107198,Singapore,SGP,2020-01-30,1.834,0.55,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107199,Singapore,SGP,2020-01-31,2.384,0.55,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107200,Singapore,SGP,2020-02-01,2.9339999999999997,0.55,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107201,Singapore,SGP,2020-02-02,3.301,0.36700000000000005,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107202,Singapore,SGP,2020-02-03,3.301,0.0,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107203,Singapore,SGP,2020-02-04,4.401,1.1,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107204,Singapore,SGP,2020-02-05,5.1339999999999995,0.733,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107205,Singapore,SGP,2020-02-06,5.1339999999999995,0.0,,,,,,,,25.0,5453600.0,42.4,85535.383,2.4,0.938
107206,Singapore,SGP,2020-02-07,5.501,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107207,Singapore,SGP,2020-02-08,6.051,0.55,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107208,Singapore,SGP,2020-02-09,7.335,1.284,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107209,Singapore,SGP,2020-02-10,8.251,0.917,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107210,Singapore,SGP,2020-02-11,8.618,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107211,Singapore,SGP,2020-02-12,9.168,0.55,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107212,Singapore,SGP,2020-02-13,10.635,1.4669999999999999,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107213,Singapore,SGP,2020-02-14,12.285,1.65,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107214,Singapore,SGP,2020-02-15,13.202,0.917,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107215,Singapore,SGP,2020-02-16,13.752,0.55,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107216,Singapore,SGP,2020-02-17,14.119000000000002,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107217,Singapore,SGP,2020-02-18,14.853,0.733,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107218,Singapore,SGP,2020-02-19,15.402999999999999,0.55,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107219,Singapore,SGP,2020-02-20,15.402999999999999,0.0,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107220,Singapore,SGP,2020-02-21,15.585999999999999,0.183,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107221,Singapore,SGP,2020-02-22,15.585999999999999,0.0,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107222,Singapore,SGP,2020-02-23,16.319000000000003,0.733,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107223,Singapore,SGP,2020-02-24,16.319000000000003,0.0,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107224,Singapore,SGP,2020-02-25,16.686,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107225,Singapore,SGP,2020-02-26,17.053,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107226,Singapore,SGP,2020-02-27,17.053,0.0,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107227,Singapore,SGP,2020-02-28,17.053,0.0,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107228,Singapore,SGP,2020-02-29,18.703,1.65,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107229,Singapore,SGP,2020-03-01,19.437,0.733,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
107230,Singapore,SGP,2020-03-02,19.803,0.36700000000000005,,,,,,,,30.56,5453600.0,42.4,85535.383,2.4,0.938
