,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
109323,Solomon Islands,SLB,2020-10-12,2.841,2.841,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109324,Solomon Islands,SLB,2020-10-13,2.841,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109325,Solomon Islands,SLB,2020-10-14,2.841,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109326,Solomon Islands,SLB,2020-10-15,4.261,1.42,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109327,Solomon Islands,SLB,2020-10-16,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109328,Solomon Islands,SLB,2020-10-17,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109329,Solomon Islands,SLB,2020-10-18,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109330,Solomon Islands,SLB,2020-10-19,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109331,Solomon Islands,SLB,2020-10-20,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109332,Solomon Islands,SLB,2020-10-21,4.261,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109333,Solomon Islands,SLB,2020-10-22,5.682,1.42,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109334,Solomon Islands,SLB,2020-10-23,5.682,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109335,Solomon Islands,SLB,2020-10-24,5.682,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109336,Solomon Islands,SLB,2020-10-25,5.682,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109337,Solomon Islands,SLB,2020-10-26,5.682,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109338,Solomon Islands,SLB,2020-10-27,11.364,5.682,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109339,Solomon Islands,SLB,2020-10-28,11.364,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109340,Solomon Islands,SLB,2020-10-29,11.364,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109341,Solomon Islands,SLB,2020-10-30,11.364,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109342,Solomon Islands,SLB,2020-10-31,11.364,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109343,Solomon Islands,SLB,2020-11-01,11.364,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109344,Solomon Islands,SLB,2020-11-02,18.465999999999998,7.102,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109345,Solomon Islands,SLB,2020-11-03,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109346,Solomon Islands,SLB,2020-11-04,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109347,Solomon Islands,SLB,2020-11-05,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109348,Solomon Islands,SLB,2020-11-06,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109349,Solomon Islands,SLB,2020-11-07,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109350,Solomon Islands,SLB,2020-11-08,18.465999999999998,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109351,Solomon Islands,SLB,2020-11-09,22.726999999999997,4.261,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109352,Solomon Islands,SLB,2020-11-10,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109353,Solomon Islands,SLB,2020-11-11,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109354,Solomon Islands,SLB,2020-11-12,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109355,Solomon Islands,SLB,2020-11-13,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109356,Solomon Islands,SLB,2020-11-14,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109357,Solomon Islands,SLB,2020-11-15,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109358,Solomon Islands,SLB,2020-11-16,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109359,Solomon Islands,SLB,2020-11-17,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109360,Solomon Islands,SLB,2020-11-18,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109361,Solomon Islands,SLB,2020-11-19,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109362,Solomon Islands,SLB,2020-11-20,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109363,Solomon Islands,SLB,2020-11-21,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109364,Solomon Islands,SLB,2020-11-22,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109365,Solomon Islands,SLB,2020-11-23,22.726999999999997,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109366,Solomon Islands,SLB,2020-11-24,24.148000000000003,1.42,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109367,Solomon Islands,SLB,2020-11-25,24.148000000000003,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109368,Solomon Islands,SLB,2020-11-26,24.148000000000003,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109369,Solomon Islands,SLB,2020-11-27,24.148000000000003,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109370,Solomon Islands,SLB,2020-11-28,24.148000000000003,0.0,,,,,,,,43.52,703995.0,20.8,2205.923,1.4,0.5670000000000001
109371,Solomon Islands,SLB,2020-11-29,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109372,Solomon Islands,SLB,2020-11-30,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109373,Solomon Islands,SLB,2020-12-01,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109374,Solomon Islands,SLB,2020-12-02,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109375,Solomon Islands,SLB,2020-12-03,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109376,Solomon Islands,SLB,2020-12-04,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109377,Solomon Islands,SLB,2020-12-05,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109378,Solomon Islands,SLB,2020-12-06,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109379,Solomon Islands,SLB,2020-12-07,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109380,Solomon Islands,SLB,2020-12-08,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109381,Solomon Islands,SLB,2020-12-09,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109382,Solomon Islands,SLB,2020-12-10,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109383,Solomon Islands,SLB,2020-12-11,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109384,Solomon Islands,SLB,2020-12-12,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109385,Solomon Islands,SLB,2020-12-13,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109386,Solomon Islands,SLB,2020-12-14,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109387,Solomon Islands,SLB,2020-12-15,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109388,Solomon Islands,SLB,2020-12-16,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109389,Solomon Islands,SLB,2020-12-17,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109390,Solomon Islands,SLB,2020-12-18,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109391,Solomon Islands,SLB,2020-12-19,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109392,Solomon Islands,SLB,2020-12-20,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109393,Solomon Islands,SLB,2020-12-21,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109394,Solomon Islands,SLB,2020-12-22,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109395,Solomon Islands,SLB,2020-12-23,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109396,Solomon Islands,SLB,2020-12-24,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109397,Solomon Islands,SLB,2020-12-25,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109398,Solomon Islands,SLB,2020-12-26,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109399,Solomon Islands,SLB,2020-12-27,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109400,Solomon Islands,SLB,2020-12-28,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109401,Solomon Islands,SLB,2020-12-29,24.148000000000003,0.0,,,,,,,,36.11,703995.0,20.8,2205.923,1.4,0.5670000000000001
109402,Solomon Islands,SLB,2020-12-30,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109403,Solomon Islands,SLB,2020-12-31,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109404,Solomon Islands,SLB,2021-01-01,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109405,Solomon Islands,SLB,2021-01-02,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109406,Solomon Islands,SLB,2021-01-03,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109407,Solomon Islands,SLB,2021-01-04,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109408,Solomon Islands,SLB,2021-01-05,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109409,Solomon Islands,SLB,2021-01-06,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109410,Solomon Islands,SLB,2021-01-07,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109411,Solomon Islands,SLB,2021-01-08,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109412,Solomon Islands,SLB,2021-01-09,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109413,Solomon Islands,SLB,2021-01-10,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109414,Solomon Islands,SLB,2021-01-11,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109415,Solomon Islands,SLB,2021-01-12,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109416,Solomon Islands,SLB,2021-01-13,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109417,Solomon Islands,SLB,2021-01-14,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109418,Solomon Islands,SLB,2021-01-15,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109419,Solomon Islands,SLB,2021-01-16,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109420,Solomon Islands,SLB,2021-01-17,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109421,Solomon Islands,SLB,2021-01-18,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109422,Solomon Islands,SLB,2021-01-19,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109423,Solomon Islands,SLB,2021-01-20,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109424,Solomon Islands,SLB,2021-01-21,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109425,Solomon Islands,SLB,2021-01-22,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109426,Solomon Islands,SLB,2021-01-23,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109427,Solomon Islands,SLB,2021-01-24,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109428,Solomon Islands,SLB,2021-01-25,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109429,Solomon Islands,SLB,2021-01-26,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109430,Solomon Islands,SLB,2021-01-27,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109431,Solomon Islands,SLB,2021-01-28,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109432,Solomon Islands,SLB,2021-01-29,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109433,Solomon Islands,SLB,2021-01-30,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109434,Solomon Islands,SLB,2021-01-31,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109435,Solomon Islands,SLB,2021-02-01,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109436,Solomon Islands,SLB,2021-02-02,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109437,Solomon Islands,SLB,2021-02-03,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109438,Solomon Islands,SLB,2021-02-04,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109439,Solomon Islands,SLB,2021-02-05,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
109440,Solomon Islands,SLB,2021-02-06,24.148000000000003,0.0,,,,,,,,33.33,703995.0,20.8,2205.923,1.4,0.5670000000000001
