,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
106594,Sierra Leone,SLE,2020-03-31,0.12300000000000001,0.12300000000000001,,,,,,,,57.41,8141343.0,19.1,1390.3,,0.452
106595,Sierra Leone,SLE,2020-04-01,0.24600000000000002,0.12300000000000001,,,,,,,,57.41,8141343.0,19.1,1390.3,,0.452
106596,Sierra Leone,SLE,2020-04-02,0.24600000000000002,0.0,,,,,,,,57.41,8141343.0,19.1,1390.3,,0.452
106597,Sierra Leone,SLE,2020-04-03,0.24600000000000002,0.0,,,,,,,,57.41,8141343.0,19.1,1390.3,,0.452
106598,Sierra Leone,SLE,2020-04-04,0.491,0.24600000000000002,,,,,,,,57.41,8141343.0,19.1,1390.3,,0.452
106599,Sierra Leone,SLE,2020-04-05,0.737,0.24600000000000002,,,,,,,,88.89,8141343.0,19.1,1390.3,,0.452
106600,Sierra Leone,SLE,2020-04-06,0.737,0.0,,,,,,,,88.89,8141343.0,19.1,1390.3,,0.452
106601,Sierra Leone,SLE,2020-04-07,0.737,0.0,,,,,,,,88.89,8141343.0,19.1,1390.3,,0.452
106602,Sierra Leone,SLE,2020-04-08,0.86,0.12300000000000001,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106603,Sierra Leone,SLE,2020-04-09,0.86,0.0,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106604,Sierra Leone,SLE,2020-04-10,0.983,0.12300000000000001,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106605,Sierra Leone,SLE,2020-04-11,0.983,0.0,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106606,Sierra Leone,SLE,2020-04-12,1.228,0.24600000000000002,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106607,Sierra Leone,SLE,2020-04-13,1.228,0.0,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106608,Sierra Leone,SLE,2020-04-14,1.351,0.12300000000000001,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106609,Sierra Leone,SLE,2020-04-15,1.597,0.24600000000000002,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106610,Sierra Leone,SLE,2020-04-16,1.8419999999999999,0.24600000000000002,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106611,Sierra Leone,SLE,2020-04-17,3.194,1.351,,,,,,,,75.93,8141343.0,19.1,1390.3,,0.452
106612,Sierra Leone,SLE,2020-04-18,3.685,0.491,,,,,,,,81.48,8141343.0,19.1,1390.3,,0.452
106613,Sierra Leone,SLE,2020-04-19,4.2989999999999995,0.614,,,,,,,,81.48,8141343.0,19.1,1390.3,,0.452
106614,Sierra Leone,SLE,2020-04-20,5.282,0.983,,,,,,,,81.48,8141343.0,19.1,1390.3,,0.452
106615,Sierra Leone,SLE,2020-04-21,6.141,0.86,,,,,,,,81.48,8141343.0,19.1,1390.3,,0.452
106616,Sierra Leone,SLE,2020-04-22,7.492999999999999,1.351,,,,,,,,81.48,8141343.0,19.1,1390.3,,0.452
