,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
35681,El Salvador,SLV,2020-03-19,0.153,0.153,,,,,,,,65.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35682,El Salvador,SLV,2020-03-20,0.153,0.0,,,,,,,,65.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35683,El Salvador,SLV,2020-03-21,0.46,0.307,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35684,El Salvador,SLV,2020-03-22,0.46,0.0,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35685,El Salvador,SLV,2020-03-23,0.46,0.0,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35686,El Salvador,SLV,2020-03-24,0.767,0.307,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35687,El Salvador,SLV,2020-03-25,1.381,0.614,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35688,El Salvador,SLV,2020-03-26,1.994,0.614,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35689,El Salvador,SLV,2020-03-27,1.994,0.0,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35690,El Salvador,SLV,2020-03-28,2.915,0.92,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35691,El Salvador,SLV,2020-03-29,3.682,0.767,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35692,El Salvador,SLV,2020-03-30,4.602,0.92,,,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35693,El Salvador,SLV,2020-03-31,4.909,0.307,0.153,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35694,El Salvador,SLV,2020-04-01,4.909,0.0,0.153,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35695,El Salvador,SLV,2020-04-02,6.29,1.381,0.307,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35696,El Salvador,SLV,2020-04-03,7.057,0.767,0.307,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35697,El Salvador,SLV,2020-04-04,8.591000000000001,1.534,0.46,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35698,El Salvador,SLV,2020-04-05,9.511000000000001,0.92,0.46,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35699,El Salvador,SLV,2020-04-06,10.585,1.074,0.614,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35700,El Salvador,SLV,2020-04-07,11.966,1.381,0.614,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35701,El Salvador,SLV,2020-04-08,14.267000000000001,2.301,0.767,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35702,El Salvador,SLV,2020-04-09,15.800999999999998,1.534,0.92,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35703,El Salvador,SLV,2020-04-10,17.949,2.148,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35704,El Salvador,SLV,2020-04-11,18.102,0.153,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35705,El Salvador,SLV,2020-04-12,19.176,1.074,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35706,El Salvador,SLV,2020-04-13,21.017,1.841,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35707,El Salvador,SLV,2020-04-14,22.858,1.841,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35708,El Salvador,SLV,2020-04-15,24.392,1.534,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35709,El Salvador,SLV,2020-04-16,25.159000000000002,0.767,0.92,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35710,El Salvador,SLV,2020-04-17,27.153000000000002,1.994,1.074,0.153,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35711,El Salvador,SLV,2020-04-18,29.148000000000003,1.994,1.074,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35712,El Salvador,SLV,2020-04-19,30.835,1.6880000000000002,1.074,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35713,El Salvador,SLV,2020-04-20,33.443000000000005,2.608,1.074,0.0,,,,,,88.89,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35714,El Salvador,SLV,2020-04-21,34.516999999999996,1.074,1.074,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35715,El Salvador,SLV,2020-04-22,36.358000000000004,1.841,1.074,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35716,El Salvador,SLV,2020-04-23,38.352,1.994,1.227,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35717,El Salvador,SLV,2020-04-24,42.034,3.682,1.227,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35718,El Salvador,SLV,2020-04-25,42.034,0.0,1.227,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35719,El Salvador,SLV,2020-04-26,45.716,3.682,1.227,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35720,El Salvador,SLV,2020-04-27,49.551,3.835,1.227,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35721,El Salvador,SLV,2020-04-28,52.926,3.375,1.227,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35722,El Salvador,SLV,2020-04-29,57.835,4.909,1.381,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35723,El Salvador,SLV,2020-04-30,60.597,2.761,1.534,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35724,El Salvador,SLV,2020-05-01,65.046,4.449,1.534,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35725,El Salvador,SLV,2020-05-02,68.421,3.375,1.6880000000000002,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35726,El Salvador,SLV,2020-05-03,75.171,6.75,1.6880000000000002,0.0,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35727,El Salvador,SLV,2020-05-04,85.14200000000001,9.972000000000001,1.994,0.307,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35728,El Salvador,SLV,2020-05-05,90.051,4.909,2.148,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35729,El Salvador,SLV,2020-05-06,97.10799999999999,7.057,2.301,0.153,,,,,,94.44,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35730,El Salvador,SLV,2020-05-07,106.62,9.511000000000001,2.301,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35731,El Salvador,SLV,2020-05-08,113.83,7.21,2.455,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35732,El Salvador,SLV,2020-05-09,120.273,6.443,2.608,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35733,El Salvador,SLV,2020-05-10,136.381,16.108,2.608,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35734,El Salvador,SLV,2020-05-11,146.966,10.585,2.761,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35735,El Salvador,SLV,2020-05-12,153.10299999999998,6.136,3.068,0.307,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35736,El Salvador,SLV,2020-05-13,159.086,5.983,3.068,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35737,El Salvador,SLV,2020-05-14,170.59099999999998,11.505999999999998,3.528,0.46,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35738,El Salvador,SLV,2020-05-15,185.62599999999998,15.034,3.835,0.307,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35739,El Salvador,SLV,2020-05-16,194.063,8.437999999999999,3.989,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35740,El Salvador,SLV,2020-05-17,205.262,11.199000000000002,4.602,0.614,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35741,El Salvador,SLV,2020-05-18,216.768,11.505999999999998,4.602,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35742,El Salvador,SLV,2020-05-19,229.80700000000002,13.04,4.602,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35743,El Salvador,SLV,2020-05-20,241.00599999999997,11.199000000000002,4.756,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35744,El Salvador,SLV,2020-05-21,251.592,10.585,5.063,0.307,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35745,El Salvador,SLV,2020-05-22,264.631,13.04,5.063,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35746,El Salvador,SLV,2020-05-23,279.052,14.42,5.063,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35747,El Salvador,SLV,2020-05-24,293.779,14.727,5.369,0.307,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35748,El Salvador,SLV,2020-05-25,304.211,10.432,5.369,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35749,El Salvador,SLV,2020-05-26,313.262,9.051,5.523,0.153,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35750,El Salvador,SLV,2020-05-27,323.541,10.277999999999999,5.983,0.46,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35751,El Salvador,SLV,2020-05-28,336.58099999999996,13.04,5.983,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35752,El Salvador,SLV,2020-05-29,349.467,12.886,6.443,0.46,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35753,El Salvador,SLV,2020-05-30,367.416,17.949,7.057,0.614,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35754,El Salvador,SLV,2020-05-31,386.13199999999995,18.715999999999998,7.057,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35755,El Salvador,SLV,2020-06-01,396.103,9.972000000000001,7.057,0.0,,,,,,100.0,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35756,El Salvador,SLV,2020-06-02,406.995,10.892000000000001,7.517,0.46,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35757,El Salvador,SLV,2020-06-03,414.973,7.977,7.824,0.307,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35758,El Salvador,SLV,2020-06-04,426.63199999999995,11.659,7.977,0.153,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35759,El Salvador,SLV,2020-06-05,437.064,10.432,8.131,0.153,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35760,El Salvador,SLV,2020-06-06,450.10400000000004,13.04,8.131,0.0,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35761,El Salvador,SLV,2020-06-07,462.53,12.425999999999998,8.131,0.0,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35762,El Salvador,SLV,2020-06-08,476.18300000000005,13.652999999999999,8.591000000000001,0.46,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35763,El Salvador,SLV,2020-06-09,489.53,13.347000000000001,9.205,0.614,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35764,El Salvador,SLV,2020-06-10,502.26300000000003,12.732999999999999,9.818,0.614,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35765,El Salvador,SLV,2020-06-11,517.45,15.187999999999999,10.432,0.614,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35766,El Salvador,SLV,2020-06-12,534.019,16.567999999999998,10.432,0.0,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35767,El Salvador,SLV,2020-06-13,552.735,18.715999999999998,11.045,0.614,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35768,El Salvador,SLV,2020-06-14,570.683,17.949,11.352,0.307,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35769,El Salvador,SLV,2020-06-15,586.945,16.261,11.352,0.0,,,,,,96.3,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35770,El Salvador,SLV,2020-06-16,604.587,17.642,11.659,0.307,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35771,El Salvador,SLV,2020-06-17,623.763,19.176,12.119000000000002,0.46,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35772,El Salvador,SLV,2020-06-18,644.32,20.557,12.58,0.46,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35773,El Salvador,SLV,2020-06-19,664.11,19.79,13.193,0.614,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35774,El Salvador,SLV,2020-06-20,686.508,22.398000000000003,14.267000000000001,1.074,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35775,El Salvador,SLV,2020-06-21,709.672,23.165,15.034,0.767,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35776,El Salvador,SLV,2020-06-22,737.5930000000001,27.921,16.415,1.381,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
35777,El Salvador,SLV,2020-06-23,762.9060000000001,25.313000000000002,17.335,0.92,,,,,,90.74,6518500.0,27.6,7292.4580000000005,1.3,0.6729999999999999
