,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
102876,San Marino,SMR,2020-02-29,29.403000000000002,29.403000000000002,29.403000000000002,29.403000000000002,,,,,,27.78,34010.0,,56861.47,3.8,
102877,San Marino,SMR,2020-03-01,29.403000000000002,0.0,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102878,San Marino,SMR,2020-03-02,29.403000000000002,0.0,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102879,San Marino,SMR,2020-03-03,264.628,235.225,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102880,San Marino,SMR,2020-03-04,264.628,0.0,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102881,San Marino,SMR,2020-03-05,470.45,205.822,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102882,San Marino,SMR,2020-03-06,646.869,176.419,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102883,San Marino,SMR,2020-03-07,705.675,58.806000000000004,29.403000000000002,0.0,,,,,,33.33,34010.0,,56861.47,3.8,
102884,San Marino,SMR,2020-03-08,793.8839999999999,88.209,29.403000000000002,0.0,,,,,,68.52,34010.0,,56861.47,3.8,
102885,San Marino,SMR,2020-03-09,1087.915,294.031,29.403000000000002,0.0,,,,,,68.52,34010.0,,56861.47,3.8,
102886,San Marino,SMR,2020-03-10,1440.753,352.837,58.806000000000004,29.403000000000002,,,,,,68.52,34010.0,,56861.47,3.8,
102887,San Marino,SMR,2020-03-11,1764.1870000000001,323.434,58.806000000000004,0.0,,,,,,68.52,34010.0,,56861.47,3.8,
102888,San Marino,SMR,2020-03-12,1764.1870000000001,0.0,58.806000000000004,0.0,,,,,,68.52,34010.0,,56861.47,3.8,
102889,San Marino,SMR,2020-03-13,1881.799,117.61200000000001,147.016,88.209,,,,,,68.52,34010.0,,56861.47,3.8,
102890,San Marino,SMR,2020-03-14,2264.04,382.241,147.016,0.0,,,,,,68.52,34010.0,,56861.47,3.8,
102891,San Marino,SMR,2020-03-15,2264.04,0.0,147.016,0.0,,,,,,79.63,34010.0,,56861.47,3.8,
102892,San Marino,SMR,2020-03-16,2264.04,0.0,147.016,0.0,,,,,,79.63,34010.0,,56861.47,3.8,
102893,San Marino,SMR,2020-03-17,2999.118,735.078,264.628,117.61200000000001,,,,,,79.63,34010.0,,56861.47,3.8,
102894,San Marino,SMR,2020-03-18,3057.9240000000004,58.806000000000004,323.434,58.806000000000004,,,,,,79.63,34010.0,,56861.47,3.8,
102895,San Marino,SMR,2020-03-19,3204.94,147.016,411.644,88.209,,,,,,79.63,34010.0,,56861.47,3.8,
102896,San Marino,SMR,2020-03-20,3704.7929999999997,499.853,411.644,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102897,San Marino,SMR,2020-03-21,4439.871,735.078,588.062,176.419,,,,,,83.33,34010.0,,56861.47,3.8,
102898,San Marino,SMR,2020-03-22,5145.545,705.675,588.062,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102899,San Marino,SMR,2020-03-23,5498.383000000001,352.837,588.062,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102900,San Marino,SMR,2020-03-24,5498.383000000001,0.0,617.465,29.403000000000002,,,,,,83.33,34010.0,,56861.47,3.8,
102901,San Marino,SMR,2020-03-25,6115.848000000001,617.465,617.465,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102902,San Marino,SMR,2020-03-26,6409.879,294.031,617.465,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102903,San Marino,SMR,2020-03-27,6556.895,147.016,617.465,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102904,San Marino,SMR,2020-03-28,6703.911,147.016,646.869,29.403000000000002,,,,,,83.33,34010.0,,56861.47,3.8,
102905,San Marino,SMR,2020-03-29,6703.911,0.0,646.869,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102906,San Marino,SMR,2020-03-30,6762.717,58.806000000000004,735.078,88.209,,,,,,83.33,34010.0,,56861.47,3.8,
102907,San Marino,SMR,2020-03-31,6939.1359999999995,176.419,764.4810000000001,29.403000000000002,,,,,,83.33,34010.0,,56861.47,3.8,
102908,San Marino,SMR,2020-04-01,6939.1359999999995,0.0,823.2869999999999,58.806000000000004,,,,,,83.33,34010.0,,56861.47,3.8,
102909,San Marino,SMR,2020-04-02,6939.1359999999995,0.0,823.2869999999999,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102910,San Marino,SMR,2020-04-03,7203.764,264.628,882.0939999999999,58.806000000000004,,,,,,83.33,34010.0,,56861.47,3.8,
102911,San Marino,SMR,2020-04-04,7409.585,205.822,940.9,58.806000000000004,,,,,,83.33,34010.0,,56861.47,3.8,
102912,San Marino,SMR,2020-04-05,7615.406999999999,205.822,940.9,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102913,San Marino,SMR,2020-04-06,7821.229,205.822,940.9,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102914,San Marino,SMR,2020-04-07,8144.6630000000005,323.434,940.9,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102915,San Marino,SMR,2020-04-08,8203.47,58.806000000000004,999.706,58.806000000000004,,,,,,83.33,34010.0,,56861.47,3.8,
102916,San Marino,SMR,2020-04-09,9056.16,852.69,999.706,0.0,,,,,,83.33,34010.0,,56861.47,3.8,
102917,San Marino,SMR,2020-04-10,10114.671999999999,1058.512,999.706,0.0,,,,,,87.04,34010.0,,56861.47,3.8,
102918,San Marino,SMR,2020-04-11,10114.671999999999,0.0,999.706,0.0,,,,,,87.04,34010.0,,56861.47,3.8,
102919,San Marino,SMR,2020-04-12,10467.51,352.837,1029.109,29.403000000000002,,,,,,87.04,34010.0,,56861.47,3.8,
102920,San Marino,SMR,2020-04-13,10467.51,0.0,1029.109,0.0,,,,,,87.04,34010.0,,56861.47,3.8,
102921,San Marino,SMR,2020-04-14,10908.556,441.04699999999997,1058.512,29.403000000000002,,,,,,87.04,34010.0,,56861.47,3.8,
102922,San Marino,SMR,2020-04-15,10937.958999999999,29.403000000000002,1058.512,0.0,,,,,,87.04,34010.0,,56861.47,3.8,
102923,San Marino,SMR,2020-04-16,11555.425,617.465,1058.512,0.0,,,,,,87.04,34010.0,,56861.47,3.8,
102924,San Marino,SMR,2020-04-17,12525.728000000001,970.303,1117.318,58.806000000000004,,,,,,92.59,34010.0,,56861.47,3.8,
102925,San Marino,SMR,2020-04-18,12525.728000000001,0.0,1117.318,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102926,San Marino,SMR,2020-04-19,13378.418,852.69,1146.722,29.403000000000002,,,,,,92.59,34010.0,,56861.47,3.8,
102927,San Marino,SMR,2020-04-20,13554.837,176.419,1146.722,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102928,San Marino,SMR,2020-04-21,13584.24,29.403000000000002,1146.722,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102929,San Marino,SMR,2020-04-22,13995.883999999998,411.644,1176.125,29.403000000000002,,,,,,92.59,34010.0,,56861.47,3.8,
102930,San Marino,SMR,2020-04-23,14348.721000000001,352.837,1176.125,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102931,San Marino,SMR,2020-04-24,14730.961000000001,382.241,1176.125,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102932,San Marino,SMR,2020-04-25,15083.798999999999,352.837,1176.125,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102933,San Marino,SMR,2020-04-26,15083.798999999999,0.0,1176.125,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102934,San Marino,SMR,2020-04-27,15818.877,735.078,1205.528,29.403000000000002,,,,,,92.59,34010.0,,56861.47,3.8,
102935,San Marino,SMR,2020-04-28,15818.877,0.0,1205.528,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102936,San Marino,SMR,2020-04-29,16259.923999999999,441.04699999999997,1205.528,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102937,San Marino,SMR,2020-04-30,16553.955,294.031,1205.528,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102938,San Marino,SMR,2020-05-01,16730.373,176.419,1205.528,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102939,San Marino,SMR,2020-05-02,17053.808,323.434,1205.528,0.0,,,,,,92.59,34010.0,,56861.47,3.8,
102940,San Marino,SMR,2020-05-03,17053.808,0.0,1205.528,0.0,,,,,,77.78,34010.0,,56861.47,3.8,
102941,San Marino,SMR,2020-05-04,17112.613999999998,58.806000000000004,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102942,San Marino,SMR,2020-05-05,17112.613999999998,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102943,San Marino,SMR,2020-05-06,17318.436,205.822,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102944,San Marino,SMR,2020-05-07,17877.095,558.659,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102945,San Marino,SMR,2020-05-08,18582.77,705.675,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102946,San Marino,SMR,2020-05-09,18582.77,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102947,San Marino,SMR,2020-05-10,18582.77,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102948,San Marino,SMR,2020-05-11,18729.785,147.016,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102949,San Marino,SMR,2020-05-12,19023.817,294.031,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102950,San Marino,SMR,2020-05-13,19023.817,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102951,San Marino,SMR,2020-05-14,19023.817,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102952,San Marino,SMR,2020-05-15,19023.817,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102953,San Marino,SMR,2020-05-16,19170.832,147.016,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102954,San Marino,SMR,2020-05-17,19170.832,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102955,San Marino,SMR,2020-05-18,19641.282,470.45,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102956,San Marino,SMR,2020-05-19,19641.282,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102957,San Marino,SMR,2020-05-20,19641.282,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102958,San Marino,SMR,2020-05-21,19700.088,58.806000000000004,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102959,San Marino,SMR,2020-05-22,19758.894,58.806000000000004,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102960,San Marino,SMR,2020-05-23,19758.894,0.0,1205.528,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102961,San Marino,SMR,2020-05-24,19758.894,0.0,1234.931,29.403000000000002,,,,,,66.67,34010.0,,56861.47,3.8,
102962,San Marino,SMR,2020-05-25,19758.894,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102963,San Marino,SMR,2020-05-26,19758.894,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102964,San Marino,SMR,2020-05-27,19758.894,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102965,San Marino,SMR,2020-05-28,19758.894,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102966,San Marino,SMR,2020-05-29,20199.941000000003,441.04699999999997,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102967,San Marino,SMR,2020-05-30,20199.941000000003,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102968,San Marino,SMR,2020-05-31,20199.941000000003,0.0,1234.931,0.0,,,,,,66.67,34010.0,,56861.47,3.8,
102969,San Marino,SMR,2020-06-01,20199.941000000003,0.0,1234.931,0.0,,,,,,57.41,34010.0,,56861.47,3.8,
102970,San Marino,SMR,2020-06-02,20199.941000000003,0.0,1234.931,0.0,,,,,,57.41,34010.0,,56861.47,3.8,
102971,San Marino,SMR,2020-06-03,20199.941000000003,0.0,1234.931,0.0,,,,,,57.41,34010.0,,56861.47,3.8,
102972,San Marino,SMR,2020-06-04,20199.941000000003,0.0,1234.931,0.0,,,,,,57.41,34010.0,,56861.47,3.8,
102973,San Marino,SMR,2020-06-05,20435.166,235.225,1234.931,0.0,,,,,,57.41,34010.0,,56861.47,3.8,
