,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
109725,Somalia,SOM,2020-03-16,0.061,0.061,,,,,,,,8.33,16359500.0,16.8,,0.9,
109726,Somalia,SOM,2020-03-17,0.061,0.0,,,,,,,,8.33,16359500.0,16.8,,0.9,
109727,Somalia,SOM,2020-03-18,0.061,0.0,,,,,,,,11.11,16359500.0,16.8,,0.9,
109728,Somalia,SOM,2020-03-19,0.061,0.0,,,,,,,,41.67,16359500.0,16.8,,0.9,
109729,Somalia,SOM,2020-03-20,0.061,0.0,,,,,,,,41.67,16359500.0,16.8,,0.9,
109730,Somalia,SOM,2020-03-21,0.061,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109731,Somalia,SOM,2020-03-22,0.061,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109732,Somalia,SOM,2020-03-23,0.061,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109733,Somalia,SOM,2020-03-24,0.061,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109734,Somalia,SOM,2020-03-25,0.061,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109735,Somalia,SOM,2020-03-26,0.122,0.061,,,,,,,,52.78,16359500.0,16.8,,0.9,
109736,Somalia,SOM,2020-03-27,0.183,0.061,,,,,,,,52.78,16359500.0,16.8,,0.9,
109737,Somalia,SOM,2020-03-28,0.183,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109738,Somalia,SOM,2020-03-29,0.183,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109739,Somalia,SOM,2020-03-30,0.183,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109740,Somalia,SOM,2020-03-31,0.306,0.122,,,,,,,,52.78,16359500.0,16.8,,0.9,
109741,Somalia,SOM,2020-04-01,0.306,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109742,Somalia,SOM,2020-04-02,0.306,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109743,Somalia,SOM,2020-04-03,0.428,0.122,,,,,,,,52.78,16359500.0,16.8,,0.9,
109744,Somalia,SOM,2020-04-04,0.428,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109745,Somalia,SOM,2020-04-05,0.428,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109746,Somalia,SOM,2020-04-06,0.428,0.0,,,,,,,,52.78,16359500.0,16.8,,0.9,
109747,Somalia,SOM,2020-04-07,0.489,0.061,,,,,,,,52.78,16359500.0,16.8,,0.9,
109748,Somalia,SOM,2020-04-08,0.7340000000000001,0.245,0.061,0.061,,,,,,52.78,16359500.0,16.8,,0.9,
109749,Somalia,SOM,2020-04-09,0.7340000000000001,0.0,0.061,0.0,,,,,,52.78,16359500.0,16.8,,0.9,
109750,Somalia,SOM,2020-04-10,1.284,0.55,0.061,0.0,,,,,,52.78,16359500.0,16.8,,0.9,
109751,Somalia,SOM,2020-04-11,1.284,0.0,0.061,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109752,Somalia,SOM,2020-04-12,1.528,0.245,0.061,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109753,Somalia,SOM,2020-04-13,3.668,2.1390000000000002,0.122,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109754,Somalia,SOM,2020-04-14,3.668,0.0,0.122,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109755,Somalia,SOM,2020-04-15,4.89,1.2229999999999999,0.306,0.183,,,,,,63.89,16359500.0,16.8,,0.9,
109756,Somalia,SOM,2020-04-16,4.89,0.0,0.306,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109757,Somalia,SOM,2020-04-17,7.091,2.201,0.36700000000000005,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109758,Somalia,SOM,2020-04-18,8.252,1.161,0.428,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109759,Somalia,SOM,2020-04-19,10.025,1.7730000000000001,0.428,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109760,Somalia,SOM,2020-04-20,14.487,4.462,0.489,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109761,Somalia,SOM,2020-04-21,17.482,2.995,0.489,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109762,Somalia,SOM,2020-04-22,17.482,0.0,0.489,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109763,Somalia,SOM,2020-04-23,20.05,2.5669999999999997,0.978,0.489,,,,,,63.89,16359500.0,16.8,,0.9,
109764,Somalia,SOM,2020-04-24,20.05,0.0,0.978,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109765,Somalia,SOM,2020-04-25,23.839000000000002,3.79,1.1,0.122,,,,,,63.89,16359500.0,16.8,,0.9,
109766,Somalia,SOM,2020-04-26,26.651,2.812,1.406,0.306,,,,,,63.89,16359500.0,16.8,,0.9,
109767,Somalia,SOM,2020-04-27,29.340999999999998,2.69,1.589,0.183,,,,,,63.89,16359500.0,16.8,,0.9,
109768,Somalia,SOM,2020-04-28,32.275,2.9339999999999997,1.712,0.122,,,,,,63.89,16359500.0,16.8,,0.9,
109769,Somalia,SOM,2020-04-29,35.576,3.301,1.712,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109770,Somalia,SOM,2020-04-30,36.736999999999995,1.161,1.712,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109771,Somalia,SOM,2020-05-01,36.736999999999995,0.0,1.712,0.0,,,,,,63.89,16359500.0,16.8,,0.9,
109772,Somalia,SOM,2020-05-02,41.016000000000005,4.279,1.895,0.183,,,,,,63.89,16359500.0,16.8,,0.9,
109773,Somalia,SOM,2020-05-03,44.133,3.117,1.956,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109774,Somalia,SOM,2020-05-04,46.211999999999996,2.0780000000000003,2.1390000000000002,0.183,,,,,,63.89,16359500.0,16.8,,0.9,
109775,Somalia,SOM,2020-05-05,51.041000000000004,4.829,2.323,0.183,,,,,,63.89,16359500.0,16.8,,0.9,
109776,Somalia,SOM,2020-05-06,53.363,2.323,2.384,0.061,,,,,,63.89,16359500.0,16.8,,0.9,
109777,Somalia,SOM,2020-05-07,56.725,3.362,2.69,0.306,,,,,,63.89,16359500.0,16.8,,0.9,
