,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
105350,Serbia,SRB,2020-02-26,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105351,Serbia,SRB,2020-02-27,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105352,Serbia,SRB,2020-02-28,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105353,Serbia,SRB,2020-02-29,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105354,Serbia,SRB,2020-03-01,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105355,Serbia,SRB,2020-03-02,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105356,Serbia,SRB,2020-03-03,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105357,Serbia,SRB,2020-03-04,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105358,Serbia,SRB,2020-03-05,,,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105359,Serbia,SRB,2020-03-06,0.146,0.146,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105360,Serbia,SRB,2020-03-07,0.146,0.0,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105361,Serbia,SRB,2020-03-08,0.146,0.0,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105362,Serbia,SRB,2020-03-09,0.146,0.0,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105363,Serbia,SRB,2020-03-10,0.728,0.5820000000000001,,,,,,,,13.89,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105364,Serbia,SRB,2020-03-11,1.746,1.0190000000000001,,,,,,,,25.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105365,Serbia,SRB,2020-03-12,2.765,1.0190000000000001,,,,,,,,25.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105366,Serbia,SRB,2020-03-13,5.093,2.3280000000000003,,,,,,,,25.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105367,Serbia,SRB,2020-03-14,6.694,1.601,,,,,,,,25.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105368,Serbia,SRB,2020-03-15,6.985,0.29100000000000004,,,,,,,,49.07,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105369,Serbia,SRB,2020-03-16,8.004,1.0190000000000001,,,,,,,,66.67,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105370,Serbia,SRB,2020-03-17,9.459,1.455,,,,,,,,66.67,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105371,Serbia,SRB,2020-03-18,12.079,2.6189999999999998,,,,,,,,81.48,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105372,Serbia,SRB,2020-03-19,14.989,2.911,,,,,,,,81.48,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105373,Serbia,SRB,2020-03-20,19.646,4.657,0.146,0.146,,,,,,81.48,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105374,Serbia,SRB,2020-03-21,24.885,5.239,0.146,0.0,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105375,Serbia,SRB,2020-03-22,32.306999999999995,7.422000000000001,0.29100000000000004,0.146,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105376,Serbia,SRB,2020-03-23,36.236,3.929,0.43700000000000006,0.146,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105377,Serbia,SRB,2020-03-24,44.095,7.858,0.43700000000000006,0.0,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105378,Serbia,SRB,2020-03-25,55.883,11.788,0.5820000000000001,0.146,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105379,Serbia,SRB,2020-03-26,55.883,0.0,0.146,-0.43700000000000006,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105380,Serbia,SRB,2020-03-27,66.506,10.624,0.146,0.0,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105381,Serbia,SRB,2020-03-28,95.90299999999999,29.397,1.455,1.31,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105382,Serbia,SRB,2020-03-29,107.836,11.933,1.892,0.43700000000000006,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105383,Serbia,SRB,2020-03-30,114.23899999999999,6.403,2.3280000000000003,0.43700000000000006,8.975,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
105384,Serbia,SRB,2020-03-31,130.975,16.736,2.3280000000000003,0.0,,,,,,100.0,6871547.0,41.2,14048.881000000001,5.609,0.8059999999999999
