,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
115428,Sweden,SWE,2020-02-01,0.098,0.098,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115429,Sweden,SWE,2020-02-02,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115430,Sweden,SWE,2020-02-03,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115431,Sweden,SWE,2020-02-04,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115432,Sweden,SWE,2020-02-05,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115433,Sweden,SWE,2020-02-06,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115434,Sweden,SWE,2020-02-07,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115435,Sweden,SWE,2020-02-08,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115436,Sweden,SWE,2020-02-09,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115437,Sweden,SWE,2020-02-10,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115438,Sweden,SWE,2020-02-11,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115439,Sweden,SWE,2020-02-12,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115440,Sweden,SWE,2020-02-13,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115441,Sweden,SWE,2020-02-14,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115442,Sweden,SWE,2020-02-15,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115443,Sweden,SWE,2020-02-16,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115444,Sweden,SWE,2020-02-17,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115445,Sweden,SWE,2020-02-18,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115446,Sweden,SWE,2020-02-19,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115447,Sweden,SWE,2020-02-20,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115448,Sweden,SWE,2020-02-21,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115449,Sweden,SWE,2020-02-22,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115450,Sweden,SWE,2020-02-23,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115451,Sweden,SWE,2020-02-24,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115452,Sweden,SWE,2020-02-25,0.098,0.0,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115453,Sweden,SWE,2020-02-26,0.19699999999999998,0.098,,,,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115454,Sweden,SWE,2020-02-27,0.295,0.098,,,0.0,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115455,Sweden,SWE,2020-02-28,1.083,0.787,,,0.0,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115456,Sweden,SWE,2020-02-29,1.3780000000000001,0.295,,,0.0,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115457,Sweden,SWE,2020-03-01,1.3780000000000001,0.0,,,0.0,,,,,5.56,10160159.0,41.0,46949.282999999996,2.22,0.945
115458,Sweden,SWE,2020-03-02,1.87,0.49200000000000005,,,0.0,,,,,13.89,10160159.0,41.0,46949.282999999996,2.22,0.945
115459,Sweden,SWE,2020-03-03,3.15,1.28,,,0.0,,,,,13.89,10160159.0,41.0,46949.282999999996,2.22,0.945
115460,Sweden,SWE,2020-03-04,6.102,2.9530000000000003,,,0.0,,,,,19.44,10160159.0,41.0,46949.282999999996,2.22,0.945
115461,Sweden,SWE,2020-03-05,8.562999999999999,2.461,,,0.0,,,,,19.44,10160159.0,41.0,46949.282999999996,2.22,0.945
