,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
23442,Chad,TCD,2020-03-19,0.059000000000000004,0.059000000000000004,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23443,Chad,TCD,2020-03-20,0.059000000000000004,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23444,Chad,TCD,2020-03-21,0.059000000000000004,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23445,Chad,TCD,2020-03-22,0.059000000000000004,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23446,Chad,TCD,2020-03-23,0.059000000000000004,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23447,Chad,TCD,2020-03-24,0.177,0.11800000000000001,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23448,Chad,TCD,2020-03-25,0.177,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23449,Chad,TCD,2020-03-26,0.177,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23450,Chad,TCD,2020-03-27,0.177,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23451,Chad,TCD,2020-03-28,0.177,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23452,Chad,TCD,2020-03-29,0.177,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23453,Chad,TCD,2020-03-30,0.29600000000000004,0.11800000000000001,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23454,Chad,TCD,2020-03-31,0.414,0.11800000000000001,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23455,Chad,TCD,2020-04-01,0.414,0.0,,,,,,,,27.78,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
23456,Chad,TCD,2020-04-02,0.473,0.059000000000000004,,,,,,,,33.33,16914985.0,16.7,1768.1529999999998,,0.39799999999999996
