,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
118560,Tanzania,TZA,2020-03-16,0.016,0.016,,,,,,,,13.89,61498438.0,17.7,2683.304,0.7,0.529
118561,Tanzania,TZA,2020-03-17,0.016,0.0,,,,,,,,29.63,61498438.0,17.7,2683.304,0.7,0.529
118562,Tanzania,TZA,2020-03-18,0.049,0.033,,,,,,,,33.33,61498438.0,17.7,2683.304,0.7,0.529
118563,Tanzania,TZA,2020-03-19,0.098,0.049,,,,,,,,33.33,61498438.0,17.7,2683.304,0.7,0.529
118564,Tanzania,TZA,2020-03-20,0.098,0.0,,,,,,,,33.33,61498438.0,17.7,2683.304,0.7,0.529
118565,Tanzania,TZA,2020-03-21,0.098,0.0,,,,,,,,33.33,61498438.0,17.7,2683.304,0.7,0.529
118566,Tanzania,TZA,2020-03-22,0.195,0.098,,,,,,,,36.11,61498438.0,17.7,2683.304,0.7,0.529
118567,Tanzania,TZA,2020-03-23,0.195,0.0,,,,,,,,36.11,61498438.0,17.7,2683.304,0.7,0.529
118568,Tanzania,TZA,2020-03-24,0.195,0.0,,,,,,,,36.11,61498438.0,17.7,2683.304,0.7,0.529
118569,Tanzania,TZA,2020-03-25,0.195,0.0,,,,,,,,36.11,61498438.0,17.7,2683.304,0.7,0.529
118570,Tanzania,TZA,2020-03-26,0.21100000000000002,0.016,,,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118571,Tanzania,TZA,2020-03-27,0.21100000000000002,0.0,,,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118572,Tanzania,TZA,2020-03-28,0.228,0.016,,,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118573,Tanzania,TZA,2020-03-29,0.228,0.0,,,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118574,Tanzania,TZA,2020-03-30,0.309,0.081,,,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118575,Tanzania,TZA,2020-03-31,0.309,0.0,0.016,0.016,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118576,Tanzania,TZA,2020-04-01,0.325,0.016,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118577,Tanzania,TZA,2020-04-02,0.325,0.0,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118578,Tanzania,TZA,2020-04-03,0.325,0.0,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118579,Tanzania,TZA,2020-04-04,0.325,0.0,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118580,Tanzania,TZA,2020-04-05,0.358,0.033,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118581,Tanzania,TZA,2020-04-06,0.39,0.033,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118582,Tanzania,TZA,2020-04-07,0.39,0.0,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118583,Tanzania,TZA,2020-04-08,0.40700000000000003,0.016,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118584,Tanzania,TZA,2020-04-09,0.40700000000000003,0.0,0.016,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118585,Tanzania,TZA,2020-04-10,0.52,0.114,0.049,0.033,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118586,Tanzania,TZA,2020-04-11,0.52,0.0,0.049,0.0,,,,,,47.22,61498438.0,17.7,2683.304,0.7,0.529
118587,Tanzania,TZA,2020-04-12,0.52,0.0,0.049,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118588,Tanzania,TZA,2020-04-13,0.797,0.276,0.049,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118589,Tanzania,TZA,2020-04-14,0.862,0.065,0.049,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118590,Tanzania,TZA,2020-04-15,1.431,0.569,0.065,0.016,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118591,Tanzania,TZA,2020-04-16,1.528,0.098,0.065,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118592,Tanzania,TZA,2020-04-17,2.39,0.862,0.081,0.016,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118593,Tanzania,TZA,2020-04-18,2.39,0.0,0.081,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118594,Tanzania,TZA,2020-04-19,2.764,0.374,0.114,0.033,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118595,Tanzania,TZA,2020-04-20,4.13,1.3659999999999999,0.163,0.049,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118596,Tanzania,TZA,2020-04-21,4.13,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118597,Tanzania,TZA,2020-04-22,4.618,0.488,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118598,Tanzania,TZA,2020-04-23,4.618,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118599,Tanzania,TZA,2020-04-24,4.862,0.244,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118600,Tanzania,TZA,2020-04-25,4.862,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118601,Tanzania,TZA,2020-04-26,4.862,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118602,Tanzania,TZA,2020-04-27,4.862,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118603,Tanzania,TZA,2020-04-28,4.862,0.0,0.163,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118604,Tanzania,TZA,2020-04-29,7.805,2.943,0.26,0.098,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118605,Tanzania,TZA,2020-04-30,7.805,0.0,0.26,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
118606,Tanzania,TZA,2020-05-01,7.805,0.0,0.26,0.0,,,,,,52.78,61498438.0,17.7,2683.304,0.7,0.529
