,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
127809,Uruguay,URY,2020-03-13,1.148,1.148,,,,,,,,25.93,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127810,Uruguay,URY,2020-03-14,1.722,0.574,,,,,,,,48.15,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127811,Uruguay,URY,2020-03-15,2.295,0.574,,,,,,,,51.85,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127812,Uruguay,URY,2020-03-16,8.321,6.026,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127813,Uruguay,URY,2020-03-17,14.347000000000001,6.026,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127814,Uruguay,URY,2020-03-18,22.668000000000003,8.321,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127815,Uruguay,URY,2020-03-19,26.971999999999998,4.303999999999999,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127816,Uruguay,URY,2020-03-20,31.561999999999998,4.591,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127817,Uruguay,URY,2020-03-21,38.736,7.172999999999999,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127818,Uruguay,URY,2020-03-22,45.335,6.599,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127819,Uruguay,URY,2020-03-23,46.483000000000004,1.148,,,,,,,,54.63,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127820,Uruguay,URY,2020-03-24,54.23,7.747000000000001,,,,,,,,57.41,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127821,Uruguay,URY,2020-03-25,62.263999999999996,8.033999999999999,,,,,,,,57.41,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127822,Uruguay,URY,2020-03-26,68.29,6.026,,,,,,,,57.41,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127823,Uruguay,URY,2020-03-27,78.619,10.33,,,,,,,,62.96,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127824,Uruguay,URY,2020-03-28,86.94,8.321,0.287,0.287,,,,,,62.96,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127825,Uruguay,URY,2020-03-29,88.662,1.722,0.287,0.0,,,,,,62.96,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127826,Uruguay,URY,2020-03-30,91.818,3.156,0.287,0.0,,,,,,62.96,3485152.0,35.6,20551.409,2.8,0.8170000000000001
127827,Uruguay,URY,2020-03-31,96.98299999999999,5.165,0.287,0.0,,,,,,62.96,3485152.0,35.6,20551.409,2.8,0.8170000000000001
