,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
126477,United States,USA,2020-01-22,0.003,,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126478,United States,USA,2020-01-23,0.003,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126479,United States,USA,2020-01-24,0.006,0.003,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126480,United States,USA,2020-01-25,0.006,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126481,United States,USA,2020-01-26,0.015,0.009000000000000001,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126482,United States,USA,2020-01-27,0.015,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126483,United States,USA,2020-01-28,0.015,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126484,United States,USA,2020-01-29,0.018000000000000002,0.003,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126485,United States,USA,2020-01-30,0.018000000000000002,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126486,United States,USA,2020-01-31,0.024,0.006,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126487,United States,USA,2020-02-01,0.024,0.0,,,,,,,,0.0,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126488,United States,USA,2020-02-02,0.024,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126489,United States,USA,2020-02-03,0.033,0.009000000000000001,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126490,United States,USA,2020-02-04,0.033,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126491,United States,USA,2020-02-05,0.033,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126492,United States,USA,2020-02-06,0.036000000000000004,0.003,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126493,United States,USA,2020-02-07,0.036000000000000004,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126494,United States,USA,2020-02-08,0.036000000000000004,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126495,United States,USA,2020-02-09,0.036000000000000004,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126496,United States,USA,2020-02-10,0.036000000000000004,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126497,United States,USA,2020-02-11,0.039,0.003,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126498,United States,USA,2020-02-12,0.039,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126499,United States,USA,2020-02-13,0.042,0.003,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126500,United States,USA,2020-02-14,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126501,United States,USA,2020-02-15,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126502,United States,USA,2020-02-16,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126503,United States,USA,2020-02-17,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126504,United States,USA,2020-02-18,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126505,United States,USA,2020-02-19,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126506,United States,USA,2020-02-20,0.042,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126507,United States,USA,2020-02-21,0.048,0.006,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126508,United States,USA,2020-02-22,0.048,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126509,United States,USA,2020-02-23,0.048,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126510,United States,USA,2020-02-24,0.048,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126511,United States,USA,2020-02-25,0.048,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126512,United States,USA,2020-02-26,0.048,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126513,United States,USA,2020-02-27,0.051,0.003,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126514,United States,USA,2020-02-28,0.051,0.0,,,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126515,United States,USA,2020-02-29,0.075,0.024,0.003,0.003,,,,,,5.56,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126516,United States,USA,2020-03-01,0.096,0.021,0.003,0.0,,,,,,8.33,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126517,United States,USA,2020-03-02,0.165,0.069,0.018000000000000002,0.015,,,,,,11.11,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126518,United States,USA,2020-03-03,0.222,0.057,0.021,0.003,,,,,,11.11,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126519,United States,USA,2020-03-04,0.321,0.099,0.033,0.012,,,,,,11.11,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126520,United States,USA,2020-03-05,0.5529999999999999,0.231,0.036000000000000004,0.003,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126521,United States,USA,2020-03-06,0.7120000000000001,0.159,0.042,0.006,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126522,United States,USA,2020-03-07,1.2109999999999999,0.499,0.051,0.009000000000000001,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126523,United States,USA,2020-03-08,1.5590000000000002,0.348,0.063,0.012,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126524,United States,USA,2020-03-09,1.784,0.225,0.066,0.003,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126525,United States,USA,2020-03-10,2.349,0.565,0.084,0.018000000000000002,,,,,,20.37,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126526,United States,USA,2020-03-11,3.445,1.0959999999999999,0.099,0.015,,,,,,21.76,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126527,United States,USA,2020-03-12,4.763999999999999,1.319,0.129,0.03,,,,,,30.09,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126528,United States,USA,2020-03-13,6.665,1.901,0.153,0.024,,,,,,30.09,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126529,United States,USA,2020-03-14,8.945,2.28,0.174,0.021,,,,,,35.65,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126530,United States,USA,2020-03-15,9.648,0.703,0.21,0.036000000000000004,,,,,,41.2,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126531,United States,USA,2020-03-16,14.055,4.407,0.29100000000000004,0.081,,,,,,52.31,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126532,United States,USA,2020-03-17,19.561,5.506,0.40299999999999997,0.111,,,,,,55.09,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126533,United States,USA,2020-03-18,27.541999999999998,7.981,0.583,0.18,,,,,,55.09,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126534,United States,USA,2020-03-19,41.04,13.499,0.799,0.21600000000000003,,,,,,67.13,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126535,United States,USA,2020-03-20,60.165,19.125,1.117,0.318,,,,,,67.13,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126536,United States,USA,2020-03-21,78.173,18.008,1.4269999999999998,0.309,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126537,United States,USA,2020-03-22,104.964,26.791,1.811,0.384,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126538,United States,USA,2020-03-23,138.46200000000002,33.498000000000005,2.373,0.562,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126539,United States,USA,2020-03-24,170.356,31.894000000000002,3.103,0.73,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126540,United States,USA,2020-03-25,206.782,36.427,4.103,1.0,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126541,United States,USA,2020-03-26,260.313,53.53,5.356,1.253,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126542,United States,USA,2020-03-27,316.156,55.843,6.9239999999999995,1.568,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126543,United States,USA,2020-03-28,382.731,66.57600000000001,9.065,2.142,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126544,United States,USA,2020-03-29,431.173,48.442,10.732000000000001,1.6669999999999998,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126545,United States,USA,2020-03-30,497.719,66.545,12.856,2.124,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126546,United States,USA,2020-03-31,576.961,79.242,16.097,3.241,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126547,United States,USA,2020-04-01,673.7810000000001,96.82,19.93,3.833,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126548,United States,USA,2020-04-02,770.5930000000001,96.811,24.469,4.539,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126549,United States,USA,2020-04-03,868.1610000000001,97.568,28.734,4.265,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
126550,United States,USA,2020-04-04,964.811,96.649,33.558,4.824,,,,,,72.69,332915074.0,38.3,54225.445999999996,2.77,0.9259999999999999
