,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
128424,Uzbekistan,UZB,2020-03-15,0.028999999999999998,0.028999999999999998,,,,,,,,16.67,33935765.0,28.2,6253.104,4.0,0.72
128425,Uzbekistan,UZB,2020-03-16,0.177,0.147,,,,,,,,57.41,33935765.0,28.2,6253.104,4.0,0.72
128426,Uzbekistan,UZB,2020-03-17,0.295,0.11800000000000001,,,,,,,,57.41,33935765.0,28.2,6253.104,4.0,0.72
128427,Uzbekistan,UZB,2020-03-18,0.442,0.147,,,,,,,,57.41,33935765.0,28.2,6253.104,4.0,0.72
128428,Uzbekistan,UZB,2020-03-19,0.6779999999999999,0.23600000000000002,,,,,,,,57.41,33935765.0,28.2,6253.104,4.0,0.72
128429,Uzbekistan,UZB,2020-03-20,0.972,0.295,,,,,,,,57.41,33935765.0,28.2,6253.104,4.0,0.72
128430,Uzbekistan,UZB,2020-03-21,1.2670000000000001,0.295,,,,,,,,61.11,33935765.0,28.2,6253.104,4.0,0.72
128431,Uzbekistan,UZB,2020-03-22,1.2670000000000001,0.0,,,,,,,,69.44,33935765.0,28.2,6253.104,4.0,0.72
128432,Uzbekistan,UZB,2020-03-23,1.3559999999999999,0.08800000000000001,,,,,,,,72.22,33935765.0,28.2,6253.104,4.0,0.72
128433,Uzbekistan,UZB,2020-03-24,1.473,0.11800000000000001,,,,,,,,80.56,33935765.0,28.2,6253.104,4.0,0.72
128434,Uzbekistan,UZB,2020-03-25,1.768,0.295,,,,,,,,80.56,33935765.0,28.2,6253.104,4.0,0.72
128435,Uzbekistan,UZB,2020-03-26,2.21,0.442,,,,,,,,80.56,33935765.0,28.2,6253.104,4.0,0.72
128436,Uzbekistan,UZB,2020-03-27,2.593,0.38299999999999995,0.028999999999999998,0.028999999999999998,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128437,Uzbekistan,UZB,2020-03-28,3.065,0.47100000000000003,0.059000000000000004,0.028999999999999998,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128438,Uzbekistan,UZB,2020-03-29,4.243,1.179,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128439,Uzbekistan,UZB,2020-03-30,4.391,0.147,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128440,Uzbekistan,UZB,2020-03-31,5.0680000000000005,0.6779999999999999,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128441,Uzbekistan,UZB,2020-04-01,5.334,0.265,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128442,Uzbekistan,UZB,2020-04-02,6.041,0.7070000000000001,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128443,Uzbekistan,UZB,2020-04-03,6.689,0.648,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128444,Uzbekistan,UZB,2020-04-04,7.837999999999999,1.149,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
128445,Uzbekistan,UZB,2020-04-05,10.078,2.24,0.059000000000000004,0.0,,,,,,90.74,33935765.0,28.2,6253.104,4.0,0.72
