,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
130032,Venezuela,VEN,2020-03-14,0.07,0.07,,,,,,,,51.85,28704947.0,29.0,16745.022,0.8,0.711
130033,Venezuela,VEN,2020-03-15,0.348,0.27899999999999997,,,,,,,,51.85,28704947.0,29.0,16745.022,0.8,0.711
130034,Venezuela,VEN,2020-03-16,0.5920000000000001,0.244,,,,,,,,72.22,28704947.0,29.0,16745.022,0.8,0.711
130035,Venezuela,VEN,2020-03-17,1.15,0.557,,,,,,,,79.63,28704947.0,29.0,16745.022,0.8,0.711
130036,Venezuela,VEN,2020-03-18,1.254,0.105,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130037,Venezuela,VEN,2020-03-19,1.463,0.209,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130038,Venezuela,VEN,2020-03-20,1.463,0.0,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130039,Venezuela,VEN,2020-03-21,2.439,0.975,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130040,Venezuela,VEN,2020-03-22,2.439,0.0,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130041,Venezuela,VEN,2020-03-23,2.682,0.244,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130042,Venezuela,VEN,2020-03-24,2.926,0.244,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130043,Venezuela,VEN,2020-03-25,3.17,0.244,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130044,Venezuela,VEN,2020-03-26,3.728,0.557,,,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130045,Venezuela,VEN,2020-03-27,3.728,0.0,0.035,0.035,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130046,Venezuela,VEN,2020-03-28,4.146,0.418,0.07,0.035,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130047,Venezuela,VEN,2020-03-29,4.146,0.0,0.07,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130048,Venezuela,VEN,2020-03-30,4.703,0.557,0.105,0.035,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130049,Venezuela,VEN,2020-03-31,4.703,0.0,0.105,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130050,Venezuela,VEN,2020-04-01,4.982,0.27899999999999997,0.105,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130051,Venezuela,VEN,2020-04-02,5.086,0.105,0.174,0.07,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130052,Venezuela,VEN,2020-04-03,5.33,0.244,0.244,0.07,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130053,Venezuela,VEN,2020-04-04,5.4,0.07,0.244,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130054,Venezuela,VEN,2020-04-05,5.539,0.139,0.244,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130055,Venezuela,VEN,2020-04-06,5.747999999999999,0.209,0.244,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130056,Venezuela,VEN,2020-04-07,5.747999999999999,0.0,0.244,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130057,Venezuela,VEN,2020-04-08,5.818,0.07,0.314,0.07,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130058,Venezuela,VEN,2020-04-09,5.957000000000001,0.139,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130059,Venezuela,VEN,2020-04-10,5.957000000000001,0.0,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130060,Venezuela,VEN,2020-04-11,6.097,0.139,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130061,Venezuela,VEN,2020-04-12,6.306,0.209,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130062,Venezuela,VEN,2020-04-13,6.584,0.27899999999999997,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130063,Venezuela,VEN,2020-04-14,6.584,0.0,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130064,Venezuela,VEN,2020-04-15,6.8629999999999995,0.27899999999999997,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130065,Venezuela,VEN,2020-04-16,7.107,0.244,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130066,Venezuela,VEN,2020-04-17,7.107,0.0,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130067,Venezuela,VEN,2020-04-18,7.9079999999999995,0.8009999999999999,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130068,Venezuela,VEN,2020-04-19,8.918,1.01,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130069,Venezuela,VEN,2020-04-20,8.918,0.0,0.314,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130070,Venezuela,VEN,2020-04-21,9.929,1.01,0.348,0.035,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130071,Venezuela,VEN,2020-04-22,10.033,0.105,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130072,Venezuela,VEN,2020-04-23,10.834000000000001,0.8009999999999999,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130073,Venezuela,VEN,2020-04-24,11.078,0.244,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130074,Venezuela,VEN,2020-04-25,11.252,0.174,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130075,Venezuela,VEN,2020-04-26,11.322000000000001,0.07,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130076,Venezuela,VEN,2020-04-27,11.460999999999999,0.139,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130077,Venezuela,VEN,2020-04-28,11.460999999999999,0.0,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130078,Venezuela,VEN,2020-04-29,11.530999999999999,0.07,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130079,Venezuela,VEN,2020-04-30,11.600999999999999,0.07,0.557,0.209,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130080,Venezuela,VEN,2020-05-01,11.67,0.07,0.348,-0.209,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130081,Venezuela,VEN,2020-05-02,12.019,0.348,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130082,Venezuela,VEN,2020-05-03,12.437000000000001,0.418,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130083,Venezuela,VEN,2020-05-04,12.437000000000001,0.0,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130084,Venezuela,VEN,2020-05-05,12.575999999999999,0.139,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130085,Venezuela,VEN,2020-05-06,13.203,0.627,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
130086,Venezuela,VEN,2020-05-07,13.273,0.07,0.348,0.0,,,,,,82.41,28704947.0,29.0,16745.022,0.8,0.711
