,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
130646,Vietnam,VNM,2020-01-23,0.02,0.02,,,,,,,,0.0,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130647,Vietnam,VNM,2020-01-24,0.02,0.0,,,,,,,,0.0,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130648,Vietnam,VNM,2020-01-25,0.02,0.0,,,,,,,,2.78,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130649,Vietnam,VNM,2020-01-26,0.02,0.0,,,,,,,,2.78,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130650,Vietnam,VNM,2020-01-27,0.02,0.0,,,,,,,,2.78,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130651,Vietnam,VNM,2020-01-28,0.02,0.0,,,,,,,,2.78,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130652,Vietnam,VNM,2020-01-29,0.02,0.0,,,,,,,,23.15,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130653,Vietnam,VNM,2020-01-30,0.02,0.0,,,,,,,,25.93,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130654,Vietnam,VNM,2020-01-31,0.02,0.0,,,,,,,,25.93,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130655,Vietnam,VNM,2020-02-01,0.061,0.040999999999999995,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130656,Vietnam,VNM,2020-02-02,0.061,0.0,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130657,Vietnam,VNM,2020-02-03,0.081,0.02,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130658,Vietnam,VNM,2020-02-04,0.081,0.0,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130659,Vietnam,VNM,2020-02-05,0.081,0.0,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130660,Vietnam,VNM,2020-02-06,0.102,0.02,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130661,Vietnam,VNM,2020-02-07,0.102,0.0,,,,,,,,28.7,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130662,Vietnam,VNM,2020-02-08,0.132,0.031,,,,,,,,37.04,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130663,Vietnam,VNM,2020-02-09,0.132,0.0,,,,,,,,37.04,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130664,Vietnam,VNM,2020-02-10,0.14300000000000002,0.01,,,,,,,,37.04,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130665,Vietnam,VNM,2020-02-11,0.153,0.01,,,,,,,,37.04,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130666,Vietnam,VNM,2020-02-12,0.153,0.0,,,,,,,,37.04,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130667,Vietnam,VNM,2020-02-13,0.163,0.01,,,,,,,,45.37,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130668,Vietnam,VNM,2020-02-14,0.163,0.0,,,,,,,,45.37,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130669,Vietnam,VNM,2020-02-15,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130670,Vietnam,VNM,2020-02-16,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130671,Vietnam,VNM,2020-02-17,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130672,Vietnam,VNM,2020-02-18,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130673,Vietnam,VNM,2020-02-19,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130674,Vietnam,VNM,2020-02-20,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130675,Vietnam,VNM,2020-02-21,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130676,Vietnam,VNM,2020-02-22,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130677,Vietnam,VNM,2020-02-23,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130678,Vietnam,VNM,2020-02-24,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130679,Vietnam,VNM,2020-02-25,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130680,Vietnam,VNM,2020-02-26,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130681,Vietnam,VNM,2020-02-27,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130682,Vietnam,VNM,2020-02-28,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130683,Vietnam,VNM,2020-02-29,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130684,Vietnam,VNM,2020-03-01,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130685,Vietnam,VNM,2020-03-02,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130686,Vietnam,VNM,2020-03-03,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130687,Vietnam,VNM,2020-03-04,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130688,Vietnam,VNM,2020-03-05,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130689,Vietnam,VNM,2020-03-06,0.163,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130690,Vietnam,VNM,2020-03-07,0.183,0.02,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130691,Vietnam,VNM,2020-03-08,0.306,0.122,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130692,Vietnam,VNM,2020-03-09,0.306,0.0,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130693,Vietnam,VNM,2020-03-10,0.316,0.01,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130694,Vietnam,VNM,2020-03-11,0.387,0.071,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130695,Vietnam,VNM,2020-03-12,0.397,0.01,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130696,Vietnam,VNM,2020-03-13,0.479,0.081,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130697,Vietnam,VNM,2020-03-14,0.54,0.061,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130698,Vietnam,VNM,2020-03-15,0.57,0.031,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130699,Vietnam,VNM,2020-03-16,0.621,0.051,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130700,Vietnam,VNM,2020-03-17,0.672,0.051,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130701,Vietnam,VNM,2020-03-18,0.764,0.092,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130702,Vietnam,VNM,2020-03-19,0.866,0.102,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130703,Vietnam,VNM,2020-03-20,0.927,0.061,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130704,Vietnam,VNM,2020-03-21,0.958,0.031,,,,,,,,47.22,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130705,Vietnam,VNM,2020-03-22,1.151,0.19399999999999998,,,,,,,,50.0,98168829.0,32.6,6171.884,2.6,0.7040000000000001
130706,Vietnam,VNM,2020-03-23,1.253,0.102,,,,,,,,50.0,98168829.0,32.6,6171.884,2.6,0.7040000000000001
