,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
129037,Vanuatu,VUT,2020-11-10,3.18,3.18,,,,,,,,22.22,314464.0,23.1,2921.909,,0.609
129038,Vanuatu,VUT,2020-11-11,3.18,0.0,,,,,,,,22.22,314464.0,23.1,2921.909,,0.609
129039,Vanuatu,VUT,2020-11-12,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129040,Vanuatu,VUT,2020-11-13,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129041,Vanuatu,VUT,2020-11-14,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129042,Vanuatu,VUT,2020-11-15,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129043,Vanuatu,VUT,2020-11-16,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129044,Vanuatu,VUT,2020-11-17,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129045,Vanuatu,VUT,2020-11-18,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129046,Vanuatu,VUT,2020-11-19,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129047,Vanuatu,VUT,2020-11-20,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129048,Vanuatu,VUT,2020-11-21,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129049,Vanuatu,VUT,2020-11-22,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129050,Vanuatu,VUT,2020-11-23,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129051,Vanuatu,VUT,2020-11-24,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
129052,Vanuatu,VUT,2020-11-25,3.18,0.0,,,,,,,,30.56,314464.0,23.1,2921.909,,0.609
