,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
110337,South Africa,ZAF,2020-02-07,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110338,South Africa,ZAF,2020-02-08,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110339,South Africa,ZAF,2020-02-09,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110340,South Africa,ZAF,2020-02-10,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110341,South Africa,ZAF,2020-02-11,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110342,South Africa,ZAF,2020-02-12,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110343,South Africa,ZAF,2020-02-13,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110344,South Africa,ZAF,2020-02-14,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110345,South Africa,ZAF,2020-02-15,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110346,South Africa,ZAF,2020-02-16,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110347,South Africa,ZAF,2020-02-17,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110348,South Africa,ZAF,2020-02-18,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110349,South Africa,ZAF,2020-02-19,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110350,South Africa,ZAF,2020-02-20,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110351,South Africa,ZAF,2020-02-21,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110352,South Africa,ZAF,2020-02-22,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110353,South Africa,ZAF,2020-02-23,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110354,South Africa,ZAF,2020-02-24,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110355,South Africa,ZAF,2020-02-25,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110356,South Africa,ZAF,2020-02-26,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110357,South Africa,ZAF,2020-02-27,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110358,South Africa,ZAF,2020-02-28,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110359,South Africa,ZAF,2020-02-29,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110360,South Africa,ZAF,2020-03-01,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110361,South Africa,ZAF,2020-03-02,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110362,South Africa,ZAF,2020-03-03,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110363,South Africa,ZAF,2020-03-04,,,,,,,,,,2.78,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110364,South Africa,ZAF,2020-03-05,0.017,0.017,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110365,South Africa,ZAF,2020-03-06,0.017,0.0,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110366,South Africa,ZAF,2020-03-07,0.017,0.0,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110367,South Africa,ZAF,2020-03-08,0.05,0.033,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110368,South Africa,ZAF,2020-03-09,0.05,0.0,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110369,South Africa,ZAF,2020-03-10,0.11699999999999999,0.067,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
110370,South Africa,ZAF,2020-03-11,0.217,0.1,,,,,,,,13.89,60041996.0,27.3,12294.876,2.32,0.7090000000000001
