,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
132802,Zambia,ZMB,2020-03-18,0.106,0.106,,,,,,,,16.67,18920657.0,17.7,3689.2509999999997,2.0,0.584
132803,Zambia,ZMB,2020-03-19,0.106,0.0,,,,,,,,16.67,18920657.0,17.7,3689.2509999999997,2.0,0.584
132804,Zambia,ZMB,2020-03-20,0.106,0.0,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132805,Zambia,ZMB,2020-03-21,0.106,0.0,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132806,Zambia,ZMB,2020-03-22,0.159,0.053,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132807,Zambia,ZMB,2020-03-23,0.159,0.0,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132808,Zambia,ZMB,2020-03-24,0.159,0.0,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132809,Zambia,ZMB,2020-03-25,0.634,0.47600000000000003,,,,,,,,27.78,18920657.0,17.7,3689.2509999999997,2.0,0.584
132810,Zambia,ZMB,2020-03-26,0.846,0.21100000000000002,,,,,,,,36.11,18920657.0,17.7,3689.2509999999997,2.0,0.584
132811,Zambia,ZMB,2020-03-27,1.163,0.317,,,,,,,,41.67,18920657.0,17.7,3689.2509999999997,2.0,0.584
132812,Zambia,ZMB,2020-03-28,1.48,0.317,,,,,,,,41.67,18920657.0,17.7,3689.2509999999997,2.0,0.584
132813,Zambia,ZMB,2020-03-29,1.5330000000000001,0.053,,,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132814,Zambia,ZMB,2020-03-30,1.85,0.317,,,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132815,Zambia,ZMB,2020-03-31,1.85,0.0,,,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132816,Zambia,ZMB,2020-04-01,1.903,0.053,,,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132817,Zambia,ZMB,2020-04-02,2.061,0.159,0.053,0.053,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132818,Zambia,ZMB,2020-04-03,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132819,Zambia,ZMB,2020-04-04,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132820,Zambia,ZMB,2020-04-05,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132821,Zambia,ZMB,2020-04-06,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132822,Zambia,ZMB,2020-04-07,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132823,Zambia,ZMB,2020-04-08,2.061,0.0,0.053,0.0,,,,,,47.22,18920657.0,17.7,3689.2509999999997,2.0,0.584
132824,Zambia,ZMB,2020-04-09,2.061,0.0,0.053,0.0,,,,,,50.93,18920657.0,17.7,3689.2509999999997,2.0,0.584
132825,Zambia,ZMB,2020-04-10,2.114,0.053,0.106,0.053,,,,,,50.93,18920657.0,17.7,3689.2509999999997,2.0,0.584
132826,Zambia,ZMB,2020-04-11,2.114,0.0,0.106,0.0,,,,,,50.93,18920657.0,17.7,3689.2509999999997,2.0,0.584
132827,Zambia,ZMB,2020-04-12,2.273,0.159,0.106,0.0,,,,,,50.93,18920657.0,17.7,3689.2509999999997,2.0,0.584
132828,Zambia,ZMB,2020-04-13,2.378,0.106,0.106,0.0,,,,,,50.93,18920657.0,17.7,3689.2509999999997,2.0,0.584
132829,Zambia,ZMB,2020-04-14,2.378,0.0,0.106,0.0,,,,,,53.7,18920657.0,17.7,3689.2509999999997,2.0,0.584
132830,Zambia,ZMB,2020-04-15,2.537,0.159,0.106,0.0,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
132831,Zambia,ZMB,2020-04-16,2.537,0.0,0.106,0.0,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
132832,Zambia,ZMB,2020-04-17,2.748,0.21100000000000002,0.106,0.0,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
132833,Zambia,ZMB,2020-04-18,3.013,0.264,0.106,0.0,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
132834,Zambia,ZMB,2020-04-19,3.2239999999999998,0.21100000000000002,0.159,0.053,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
132835,Zambia,ZMB,2020-04-20,3.435,0.21100000000000002,0.159,0.0,,,,,,65.28,18920657.0,17.7,3689.2509999999997,2.0,0.584
