,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
133412,Zimbabwe,ZWE,2020-03-20,0.066,0.066,,,,,,,,27.78,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133413,Zimbabwe,ZWE,2020-03-21,0.19899999999999998,0.133,,,,,,,,27.78,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133414,Zimbabwe,ZWE,2020-03-22,0.19899999999999998,0.0,,,,,,,,27.78,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133415,Zimbabwe,ZWE,2020-03-23,0.19899999999999998,0.0,0.066,0.066,,,,,,45.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133416,Zimbabwe,ZWE,2020-03-24,0.19899999999999998,0.0,0.066,0.0,,,,,,56.48,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133417,Zimbabwe,ZWE,2020-03-25,0.19899999999999998,0.0,0.066,0.0,,,,,,56.48,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133418,Zimbabwe,ZWE,2020-03-26,0.19899999999999998,0.0,0.066,0.0,,,,,,56.48,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133419,Zimbabwe,ZWE,2020-03-27,0.331,0.133,0.066,0.0,,,,,,62.04,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133420,Zimbabwe,ZWE,2020-03-28,0.46399999999999997,0.133,0.066,0.0,,,,,,62.04,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133421,Zimbabwe,ZWE,2020-03-29,0.46399999999999997,0.0,0.066,0.0,,,,,,62.04,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133422,Zimbabwe,ZWE,2020-03-30,0.46399999999999997,0.0,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133423,Zimbabwe,ZWE,2020-03-31,0.53,0.066,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133424,Zimbabwe,ZWE,2020-04-01,0.53,0.0,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133425,Zimbabwe,ZWE,2020-04-02,0.596,0.066,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133426,Zimbabwe,ZWE,2020-04-03,0.596,0.0,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133427,Zimbabwe,ZWE,2020-04-04,0.596,0.0,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133428,Zimbabwe,ZWE,2020-04-05,0.596,0.0,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133429,Zimbabwe,ZWE,2020-04-06,0.6629999999999999,0.066,0.066,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133430,Zimbabwe,ZWE,2020-04-07,0.7290000000000001,0.066,0.133,0.066,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133431,Zimbabwe,ZWE,2020-04-08,0.7290000000000001,0.0,0.19899999999999998,0.066,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133432,Zimbabwe,ZWE,2020-04-09,0.7290000000000001,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133433,Zimbabwe,ZWE,2020-04-10,0.861,0.133,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133434,Zimbabwe,ZWE,2020-04-11,0.9279999999999999,0.066,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133435,Zimbabwe,ZWE,2020-04-12,0.9279999999999999,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133436,Zimbabwe,ZWE,2020-04-13,1.126,0.19899999999999998,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133437,Zimbabwe,ZWE,2020-04-14,1.126,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133438,Zimbabwe,ZWE,2020-04-15,1.524,0.39799999999999996,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133439,Zimbabwe,ZWE,2020-04-16,1.524,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133440,Zimbabwe,ZWE,2020-04-17,1.59,0.066,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133441,Zimbabwe,ZWE,2020-04-18,1.656,0.066,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133442,Zimbabwe,ZWE,2020-04-19,1.656,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133443,Zimbabwe,ZWE,2020-04-20,1.656,0.0,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133444,Zimbabwe,ZWE,2020-04-21,1.855,0.19899999999999998,0.19899999999999998,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133445,Zimbabwe,ZWE,2020-04-22,1.855,0.0,0.265,0.066,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133446,Zimbabwe,ZWE,2020-04-23,1.855,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133447,Zimbabwe,ZWE,2020-04-24,1.922,0.066,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133448,Zimbabwe,ZWE,2020-04-25,2.0540000000000003,0.133,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133449,Zimbabwe,ZWE,2020-04-26,2.0540000000000003,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133450,Zimbabwe,ZWE,2020-04-27,2.12,0.066,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133451,Zimbabwe,ZWE,2020-04-28,2.12,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133452,Zimbabwe,ZWE,2020-04-29,2.12,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133453,Zimbabwe,ZWE,2020-04-30,2.65,0.53,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133454,Zimbabwe,ZWE,2020-05-01,2.65,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133455,Zimbabwe,ZWE,2020-05-02,2.253,-0.39799999999999996,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133456,Zimbabwe,ZWE,2020-05-03,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133457,Zimbabwe,ZWE,2020-05-04,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133458,Zimbabwe,ZWE,2020-05-05,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133459,Zimbabwe,ZWE,2020-05-06,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133460,Zimbabwe,ZWE,2020-05-07,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133461,Zimbabwe,ZWE,2020-05-08,2.253,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133462,Zimbabwe,ZWE,2020-05-09,2.319,0.066,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133463,Zimbabwe,ZWE,2020-05-10,2.385,0.066,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133464,Zimbabwe,ZWE,2020-05-11,2.385,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133465,Zimbabwe,ZWE,2020-05-12,2.385,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133466,Zimbabwe,ZWE,2020-05-13,2.452,0.066,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133467,Zimbabwe,ZWE,2020-05-14,2.452,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133468,Zimbabwe,ZWE,2020-05-15,2.783,0.331,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133469,Zimbabwe,ZWE,2020-05-16,2.783,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133470,Zimbabwe,ZWE,2020-05-17,2.915,0.133,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133471,Zimbabwe,ZWE,2020-05-18,3.048,0.133,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133472,Zimbabwe,ZWE,2020-05-19,3.048,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133473,Zimbabwe,ZWE,2020-05-20,3.18,0.133,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133474,Zimbabwe,ZWE,2020-05-21,3.3789999999999996,0.19899999999999998,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133475,Zimbabwe,ZWE,2020-05-22,3.3789999999999996,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133476,Zimbabwe,ZWE,2020-05-23,3.7110000000000003,0.331,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133477,Zimbabwe,ZWE,2020-05-24,3.7110000000000003,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133478,Zimbabwe,ZWE,2020-05-25,3.7110000000000003,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133479,Zimbabwe,ZWE,2020-05-26,3.7110000000000003,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133480,Zimbabwe,ZWE,2020-05-27,8.746,5.0360000000000005,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133481,Zimbabwe,ZWE,2020-05-28,9.873,1.126,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133482,Zimbabwe,ZWE,2020-05-29,9.873,0.0,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133483,Zimbabwe,ZWE,2020-05-30,11.529000000000002,1.656,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133484,Zimbabwe,ZWE,2020-05-31,11.794,0.265,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133485,Zimbabwe,ZWE,2020-06-01,13.450999999999999,1.656,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133486,Zimbabwe,ZWE,2020-06-02,13.649000000000001,0.19899999999999998,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133487,Zimbabwe,ZWE,2020-06-03,14.71,1.06,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133488,Zimbabwe,ZWE,2020-06-04,15.704,0.9940000000000001,0.265,0.0,,,,,,87.96,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133489,Zimbabwe,ZWE,2020-06-05,17.559,1.855,0.265,0.0,,,,,,70.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133490,Zimbabwe,ZWE,2020-06-06,18.486,0.9279999999999999,0.265,0.0,,,,,,70.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133491,Zimbabwe,ZWE,2020-06-07,18.685,0.19899999999999998,0.265,0.0,,,,,,70.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133492,Zimbabwe,ZWE,2020-06-08,19.016,0.331,0.265,0.0,,,,,,70.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
133493,Zimbabwe,ZWE,2020-06-09,20.805,1.7890000000000001,0.265,0.0,,,,,,70.37,15092171.0,19.6,1899.775,1.7,0.5710000000000001
