,Row Labels,Count of Field1,,,
United States,USA,339,,,
Canada,CAN,338,,,
Israel,ISR,334,,,
Switzerland,CHE,331,,,
Denmark,DNK,326,,,
Germany,AUT,316,,,
Austria,ITA,316,,,
Italy,CZE,316,,,
Czechia,DEU,316,,,
France,FRA,316,,,
Belgium,BEL,315,,,
Ireland,IRL,313,,,
United Kingdom,GBR,310,,,
Luxembourg,LUX,274,,NO OF COUNTRIES:,26
Malta,MLT,267,,,
Malaysia,MYS,266,,,
Romania,ROU,259,,,
Portugal,PRT,256,,,
Bulgaria,BGR,215,,,
Finland,FIN,193,,,
Spain,ESP,180,,,
Serbia,SRB,177,,,
Cyprus,CYP,123,,,
Sweden,SWE,46,,,
Netherlands,NLD,43,,,
Algeria,DZA,12,,,
,Grand Total,6497,,,
